FEATURE	TAF2_UP_EXONS_N_DATAPOINTS	TAF2_UP_EXONS_N_NA	TAF2_UP_EXONS_MEAN	TAF2_UP_EXONS_MEDIAN	TAF2_EXONS_DOWN_N_DATAPOINTS	TAF2_EXONS_DOWN_N_NA	TAF2_EXONS_DOWN_MEAN	TAF2_EXONS_DOWN_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_TAF2_EXONS_DOWN	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_TAF2_EXONS_DOWN	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CS	PVAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS	QUAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS
MAXENTSCR_HSAMODEL_5SS	258	0	7.87755813953488	8.68	276	0	7.48463768115942	8.325	989	0	6.22182002022245	7.16	981	0	7.40125382262997	8.24	974	0	8.16775154004107	8.695	0.0615081686901874	TAF2_UP_EXONS = TAF2_EXONS_DOWN	1.15841994429067e-14	*** : TAF2_UP_EXONS > CR	0.0100491705491356	*   : TAF2_UP_EXONS > AS_NC	0.308181433666956	TAF2_UP_EXONS = CS	4.4376136506666e-09	*** : TAF2_EXONS_DOWN > CR	0.75949715533111	TAF2_EXONS_DOWN = AS_NC	0.000732515229691263	*** : TAF2_EXONS_DOWN < CS	4.18395117366094e-17	*** : CR < AS_NC	1.30522383849812e-40	*** : CR < CS	4.36076121574265e-08	*** : AS_NC < CS
MAXENTSCR_HSAMODEL_DOWNSTRM_3SS	257	1	8.37243190661479	8.79	276	0	8.58219202898551	9.1175	989	0	8.84350859453994	9.04	980	1	8.59490306122449	8.825	974	0	8.43681211498973	8.64	0.479945957339253	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.0886873212742756	TAF2_UP_EXONS = CR	0.688355979670569	TAF2_UP_EXONS = AS_NC	0.730310345561588	TAF2_UP_EXONS = CS	0.422100546128176	TAF2_EXONS_DOWN = CR	0.606128301310141	TAF2_EXONS_DOWN = AS_NC	0.223612068458936	TAF2_EXONS_DOWN = CS	0.041711413785754	*   : CR > AS_NC	0.00153572625077257	**  : CR > CS	0.213071044056283	AS_NC = CS
DIST_FROM_MAXBP_TO_3SS_UPINTRON	255	3	59.2862745098039	44	273	3	53.3076923076923	39	984	5	63.530487804878	53	980	1	56.3326530612245	40	969	5	53.8173374613003	35	0.105529555053907	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.120220244359566	TAF2_UP_EXONS = CR	0.27464504904786	TAF2_UP_EXONS = AS_NC	0.0333846769156743	*   : TAF2_UP_EXONS > CS	0.000193813022251678	*** : TAF2_EXONS_DOWN < CR	0.351205365644755	TAF2_EXONS_DOWN = AS_NC	0.857081951594363	TAF2_EXONS_DOWN = CS	3.90923433524836e-05	*** : CR > AS_NC	1.29500436980737e-08	*** : CR > CS	0.0949165143127798	AS_NC = CS
SCORE_FOR_MAXBP_SEQ_UPINTRON	255	3	1.06087661322437	1.06278807869	273	3	1.15153026381622	1.19108883101	984	5	0.957445802427071	0.992528946991	980	1	1.11518399472285	1.09434772348	969	5	1.24478703294428	1.2101031208	0.233970023205935	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.45591932392822	TAF2_UP_EXONS = CR	0.509691906556197	TAF2_UP_EXONS = AS_NC	0.0371987707850618	*   : TAF2_UP_EXONS < CS	0.0207174017981781	*   : TAF2_EXONS_DOWN > CR	0.429322734988535	TAF2_EXONS_DOWN = AS_NC	0.531301513023813	TAF2_EXONS_DOWN = CS	0.0334407434045291	*   : CR < AS_NC	9.61069520765143e-06	*** : CR < CS	0.0326105744439723	*   : AS_NC < CS
PYRIMIDINECONT_MAXBP_UPINTRON	255	3	0.684122348680396	0.672413793103	273	3	0.691840329902916	0.68253968254	984	5	0.661375122582818	0.6550505050505	980	1	0.688263149089567	0.685994397759	969	5	0.699211828924601	0.703703703704	0.469688692322236	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.0249485899312135	*   : TAF2_UP_EXONS > CR	0.573665929057164	TAF2_UP_EXONS = AS_NC	0.0876650707476522	TAF2_UP_EXONS = CS	0.0010000914844259	**  : TAF2_EXONS_DOWN > CR	0.720465506011575	TAF2_EXONS_DOWN = AS_NC	0.380339025990614	TAF2_EXONS_DOWN = CS	5.65413391827401e-06	*** : CR < AS_NC	4.21948138102459e-10	*** : CR < CS	0.0590700302157363	AS_NC = CS
POLYPYRITRAC_OFFSET_MAXBP_UPINTRON	255	3	4.90196078431373	2	273	3	5.25274725274725	2	984	5	5.1270325203252	2	980	1	4.92857142857143	2	969	5	4.38080495356037	2	0.608526858385072	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.878335511304913	TAF2_UP_EXONS = CR	0.661415133576841	TAF2_UP_EXONS = AS_NC	0.0677609937333174	TAF2_UP_EXONS = CS	0.615647079693092	TAF2_EXONS_DOWN = CR	0.81972995792975	TAF2_EXONS_DOWN = AS_NC	0.2589226287403	TAF2_EXONS_DOWN = CS	0.665835573512304	CR = AS_NC	0.0135739408030446	*   : CR > CS	0.0341060835818791	*   : AS_NC > CS
POLYPYRITRAC_LEN_MAXBP_UPINTRON	255	3	15.9960784313725	14	273	3	16.2344322344322	15	984	5	16.1290650406504	13	980	1	16.6336734693878	15	969	5	15.9318885448916	14	0.743443434717599	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.726839351873976	TAF2_UP_EXONS = CR	0.243607561407285	TAF2_UP_EXONS = AS_NC	0.564717664937884	TAF2_UP_EXONS = CS	0.354641829628811	TAF2_EXONS_DOWN = CR	0.492788203554683	TAF2_EXONS_DOWN = AS_NC	0.964066950227408	TAF2_EXONS_DOWN = CS	0.0145920091341645	*   : CR < AS_NC	0.13210799368664	CR = CS	0.346519145234804	AS_NC = CS
POLYPYRITRAC_SCORE_MAXBP_UPINTRON	255	3	31.0156862745098	26	273	3	31.2454212454212	26	984	5	30.6880081300813	26	980	1	31.7448979591837	27	969	5	30.4509803921569	27	0.600511141875215	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.746922814996269	TAF2_UP_EXONS = CR	0.305809843840183	TAF2_UP_EXONS = AS_NC	0.495355137098905	TAF2_UP_EXONS = CS	0.306008298868263	TAF2_EXONS_DOWN = CR	0.770705357458824	TAF2_EXONS_DOWN = AS_NC	0.9714159676573	TAF2_EXONS_DOWN = CS	0.0326182523880663	*   : CR < AS_NC	0.106732216409353	CR = CS	0.624342661433034	AS_NC = CS
BPSCORE_MAXBP_UPINTRON	255	3	1.01676409880784	1.0591973	273	3	1.03468795408791	1.1042311	984	5	0.951620100484959	0.988311625	980	1	1.04447417670511	1.07598915	969	5	1.12137475764004	1.1398176	0.411399631207256	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.131264582889528	TAF2_UP_EXONS = CR	0.628671332125104	TAF2_UP_EXONS = AS_NC	0.0387952720692502	*   : TAF2_UP_EXONS < CS	0.0129330229842187	*   : TAF2_EXONS_DOWN > CR	0.618042602913697	TAF2_EXONS_DOWN = AS_NC	0.289817406230242	TAF2_EXONS_DOWN = CS	0.00282500982177496	**  : CR < AS_NC	2.37637839711426e-08	*** : CR < CS	0.0144174426838555	*   : AS_NC < CS
NUM_PREDICTED_BPS_UPINTRON	255	3	2.95294117647059	3	273	3	2.96336996336996	3	984	5	3.32926829268293	3	980	1	3.2530612244898	3	969	5	3.30753353973168	3	0.616956768378814	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.0064003403505856	**  : TAF2_UP_EXONS < CR	0.0262059788350334	*   : TAF2_UP_EXONS < AS_NC	0.00297606058597896	**  : TAF2_UP_EXONS < CS	0.0236356687292171	*   : TAF2_EXONS_DOWN < CR	0.0844600136852714	TAF2_EXONS_DOWN = AS_NC	0.0128047361651272	*   : TAF2_EXONS_DOWN < CS	0.445682599464334	CR = AS_NC	0.817918124088569	CR = CS	0.292881810130091	AS_NC = CS
