EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
DDHD1=HsaEX0018830	26.96	23.40	35.85	22.76	17.45	17.65	15.38	18.75	13.58	16.67	12.28	12.28
DDHD1=HsaEX0018831	80.44	79.39	83.84	78.67	72.79	66.64	79.16	76.46	73.56	58.96	82.05	79.75
KIAA0586=HsaEX0033754	31.73	NA	27.78	NA	32.39	NA	NA	26.25	NA	18.75	NA	23.10
KIAA0586=HsaEX0033757	83.10	73.33	87.37	87.83	79.41	77.79	90.27	72.87	86.32	84.43	86.41	88.01
KIAA0586=HsaEX0033759	74.15	81.62	77.98	66.37	72.10	70.87	71.24	75.13	74.95	86.81	81.21	63.60
KIAA0586=HsaEX0033760	20.89	23.41	32.91	9.73	20.67	15.92	24.82	25.30	17.06	18.69	27.58	11.13
CEP128=HsaEX0009408	87.27	93.05	81.94	89.48	82.36	75.70	89.81	84.82	88.54	92.37	82.59	90.20
CEP128=HsaEX0009407	90.69	93.86	87.81	91.51	85.80	78.18	96.22	85.89	95.64	92.07	100.00	95.47
DICER1=HsaEX0019700	18.00	9.09	27.27	17.65	27.10	30.43	NA	20.00	16.67	9.68	NA	18.03
TELO2=HsaEX0064447	84.41	83.92	84.71	84.48	83.11	78.62	80.39	94.20	78.31	73.16	77.69	83.70
PCNX1=HsaEX0045971	69.74	73.09	71.12	65.72	78.02	76.93	65.83	90.00	80.32	76.97	89.80	77.03
PCNX1=HsaEX0045972	61.54	67.17	58.96	59.60	71.92	70.36	63.68	81.47	76.25	70.74	85.90	73.50
PCNX1=HsaEX0045973	91.77	85.47	95.96	92.72	86.84	90.69	90.10	78.78	83.67	76.97	93.96	85.37
PAPLN=HsaEX0045419	84.35	NA	100.00	NA	76.33	90.59	NA	NA	83.86	NA	100.00	NA
PAPLN=HsaEX0045421	10.31	NA	NA	NA	7.49	NA	NA	NA	0.00	NA	NA	NA
PAPLN=HsaEX0045422	78.60	NA	NA	NA	100.00	NA	NA	NA	78.80	NA	NA	NA
TRIP11=HsaEX0067253	87.91	92.99	89.14	82.26	90.49	91.18	94.36	82.42	84.76	76.08	NA	92.73
PCK2=HsaEX0045897	93.78	96.21	93.95	91.88	93.85	91.85	96.93	92.90	88.97	100.00	79.93	87.51
GINS1=HsaEX0027479	62.92	63.18	62.34	63.32	72.90	72.26	76.02	71.24	77.38	79.53	71.66	79.54
GINS1=HsaEX0027480	61.39	58.60	61.04	63.43	70.30	69.31	72.45	69.65	74.68	74.79	73.29	75.84
GINS1=HsaEX0027481	60.51	64.01	62.53	55.29	65.65	61.48	70.50	66.69	73.22	75.31	72.75	71.44
NINL=HsaEX0042940	18.26	20.00	17.65	17.07	19.21	11.76	38.89	14.89	18.88	16.67	25.58	15.38
NINL=HsaEX0042942	87.64	82.01	94.04	87.06	90.45	83.76	100.00	94.37	94.97	86.33	94.20	100.00
NINL=HsaEX0042943	87.53	83.03	95.30	82.53	86.32	80.83	81.13	96.19	94.30	87.60	95.60	100.00
NINL=HsaEX0042944	88.43	85.37	95.35	83.78	84.88	78.38	85.33	92.98	94.83	94.44	92.00	100.00
UQCC1=HsaEX0069485	92.35	91.45	92.43	93.00	84.63	89.32	90.30	73.96	91.08	88.86	92.72	91.43
ZMYND8=HsaEX0072977	48.28	41.19	46.39	58.82	54.44	51.46	56.82	55.88	61.32	55.84	62.32	66.67
PABPC1L=HsaEX0045148	88.98	82.22	89.59	95.35	92.08	97.60	77.98	100.00	84.81	83.92	91.84	80.00
RNF24=HsaEX1046283	30.61	NA	17.24	NA	25.71	NA	15.38	NA	19.40	13.04	NA	21.43
METTL4=HsaEX0038918	87.23	100.00	86.21	81.40	89.54	83.61	86.96	100.00	97.83	100.00	94.87	100.00
METTL4=HsaEX0038919	77.60	85.19	76.00	75.00	71.25	77.05	66.67	68.63	86.96	92.31	80.49	92.00
METTL4=HsaEX0038920	83.03	95.45	76.12	81.48	71.28	80.00	69.44	62.26	88.14	88.89	81.40	94.87
MYL12A=HsaEX1024747	32.25	33.35	28.89	34.66	NA	20.75	17.40	NA	NA	NA	NA	35.30
CEP192=HsaEX0014753	58.45	61.26	54.61	60.80	52.17	47.69	57.58	55.00	44.97	44.30	NA	43.39
CEP192=HsaEX0014755	87.84	85.42	95.94	82.74	82.03	78.38	86.11	84.68	82.47	73.99	83.03	92.20
POLI=HsaEX0048955	71.93	NA	NA	NA	59.80	NA	NA	NA	81.66	NA	100.00	NA
ATG4A=HsaEX0006618	7.77	6.85	10.89	5.50	14.00	12.48	14.39	16.21	17.36	22.61	10.69	21.24
TBL1X=HsaEX0064031	44.32	56.86	38.98	39.39	54.81	60.53	58.62	45.95	51.90	49.02	51.85	54.72
ALG13=HsaEX0003670	13.04	3.03	18.52	NA	15.22	13.04	4.35	NA	8.47	0.00	NA	NA
ALG13=HsaEX0003680	54.14	44.44	71.43	51.14	48.71	27.17	NA	69.23	55.96	NA	56.00	51.52
ALG13=HsaEX0003681	83.16	85.71	84.00	80.95	71.33	NA	91.30	69.70	80.95	100.00	82.35	65.52
ALG13=HsaEX0003682	90.91	NA	85.19	100.00	97.26	100.00	100.00	93.10	96.92	100.00	100.00	91.30
ALG13=HsaEX0003684	91.89	92.31	85.71	NA	100.00	100.00	100.00	100.00	100.00	100.00	100.00	NA
ALG13=HsaEX0003688	90.54	89.67	100.00	82.25	86.58	94.51	84.35	78.85	94.77	NA	93.81	100.00
ALG13=HsaEX0003691	90.70	90.91	100.00	81.25	87.93	90.70	87.88	85.00	87.88	87.50	93.94	82.35
AMMECR1=HsaEX0003942	67.95	64.75	71.67	65.86	77.11	83.51	69.95	76.56	73.77	65.66	79.41	75.02
SRPX=HsaEX0061772	82.68	NA	69.97	100.00	90.31	94.12	100.00	80.02	89.52	88.27	86.32	93.77
ATP11C=HsaEX0006799	27.71	34.33	26.03	22.96	34.93	34.31	32.79	37.88	25.89	20.51	28.57	30.61
GABRE=HsaEX0026806	51.53	NA	NA	27.90	64.22	NA	NA	NA	70.61	NA	NA	NA
GABRE=HsaEX1045946	4.67	8.31	0.00	7.76	9.27	12.85	11.21	3.71	17.71	22.19	10.42	24.33
GABRE=HsaEX0026807	6.45	5.11	8.80	4.58	17.80	24.84	14.38	12.94	10.62	14.99	8.88	7.16
PORCN=HsaEX0049204	84.30	84.55	87.82	79.91	84.54	83.11	91.50	78.81	78.05	70.91	78.66	83.32
NALCN=HsaEX0041621	NA	NA	NA	NA	100.00	NA	NA	NA	90.48	NA	NA	NA
NALCN=HsaEX0041626	100.00	100.00	NA	NA	100.00	NA	NA	NA	91.84	90.00	NA	90.00
CDADC1=HsaEX0013949	10.14	17.37	8.95	NA	3.36	4.15	NA	1.68	5.17	NA	NA	1.17
CDADC1=HsaEX0013952	100.00	NA	NA	NA	90.91	NA	NA	NA	100.00	NA	NA	NA
UGGT2=HsaEX0069175	20.32	10.02	NA	26.05	23.17	19.25	NA	27.14	12.68	12.36	18.85	7.14
ARHGEF7=HsaEX0005731	66.94	63.41	67.70	69.81	66.73	63.14	62.73	76.77	59.85	56.36	61.70	61.11
VWA8=HsaEX0033738	81.03	73.68	89.47	80.00	87.60	85.51	100.00	81.25	93.33	86.05	100.00	95.92
DGKH=HsaEX0019437	9.09	NA	NA	NA	0.00	0.00	NA	NA	NA	NA	NA	NA
DGKH=HsaEX0019438	100.00	NA	NA	NA	93.33	88.89	NA	NA	100.00	NA	NA	NA
DGKH=HsaEX0019428	28.57	NA	15.38	NA	18.75	23.08	8.33	NA	3.23	3.70	NA	4.76
INTS6=HsaEX0031915	20.00	NA	NA	NA	11.76	3.45	NA	NA	11.11	NA	NA	NA
INTS6=HsaEX0031916	9.09	NA	NA	NA	5.88	6.67	NA	NA	26.67	NA	NA	NA
INTS6=HsaEX0031913	83.52	NA	NA	NA	86.37	72.55	NA	NA	87.21	NA	NA	NA
DHRS12=HsaEX0019516	92.59	NA	NA	NA	76.00	NA	NA	NA	NA	NA	NA	NA
DHRS12=HsaEX0019520	100.00	NA	NA	NA	89.11	NA	NA	NA	100.00	NA	NA	NA
DHRS12=HsaEX0019522	82.30	NA	NA	NA	90.65	NA	NA	NA	100.00	NA	NA	NA
DHRS12=HsaEX0019523	0.00	NA	NA	NA	15.77	NA	NA	NA	0.00	NA	NA	NA
HSF4=HsaEX0030592	82.79	92.91	78.00	78.82	60.80	50.46	70.82	NA	68.66	84.81	91.07	45.70
NFAT5=HsaEX0042683	87.97	85.71	93.75	82.71	92.00	90.91	91.67	93.75	87.05	94.61	86.36	77.78
NFAT5=HsaEX0042685	88.75	82.85	94.21	NA	89.35	89.08	NA	89.63	83.80	94.04	77.28	NA
NFAT5=HsaEX0042686	82.37	NA	90.98	NA	87.46	84.18	NA	90.16	76.13	91.40	NA	NA
NFAT5=HsaEX0042687	83.30	NA	NA	NA	88.34	87.20	NA	91.64	81.02	NA	78.66	75.86
NFAT5=HsaEX0042690	85.95	83.51	NA	NA	88.36	87.95	NA	90.29	79.88	NA	77.14	76.30
NFAT5=HsaEX0042682	51.11	NA	NA	NA	50.00	NA	NA	NA	37.50	NA	NA	NA
PLLP=HsaEX0048459	100.00	NA	NA	NA	85.57	NA	NA	NA	100.00	NA	NA	NA
SETD6=HsaEX0057506	71.43	64.29	75.86	75.00	76.10	71.43	84.91	72.00	74.36	65.22	86.44	NA
SLC38A7=HsaEX0059583	91.16	100.00	88.71	88.23	82.32	73.50	95.00	85.23	86.12	100.00	83.17	79.70
SLC38A7=HsaEX0059588	98.44	94.89	100.00	100.00	92.96	86.00	95.68	97.67	92.59	94.20	85.56	100.00
CMC2=HsaEX0009653	47.48	NA	NA	NA	46.78	55.48	38.36	NA	59.88	NA	NA	NA
USP10=HsaEX0069569	11.81	NA	10.08	11.09	16.87	8.10	15.42	27.97	24.62	23.17	18.76	31.10
USP10=HsaEX0069572	60.34	65.08	51.11	64.57	62.61	65.61	71.55	51.03	70.69	60.17	72.76	75.54
USP10=HsaEX0069574	8.50	5.00	15.21	5.19	10.42	3.85	15.79	11.84	9.78	21.13	1.69	11.11
MTHFSD=HsaEX0040515	44.91	52.00	37.50	47.17	44.39	36.47	51.43	48.00	47.14	33.33	55.10	56.76
MTHFSD=HsaEX0040516	45.18	40.35	51.90	40.98	38.86	42.27	30.77	44.44	47.44	56.67	40.74	42.86
CAPN15=HsaEX0060953	37.09	40.54	38.85	32.91	43.60	40.09	52.45	40.00	44.23	47.29	39.84	45.63
USP31=HsaEX0069732	95.35	NA	NA	NA	92.59	81.82	NA	100.00	96.00	NA	NA	91.30
RPGRIP1L=HsaEX0055469	6.12	NA	NA	0.00	8.11	14.29	0.00	NA	8.57	NA	NA	NA
RPGRIP1L=HsaEX0055474	88.73	NA	100.00	79.31	100.00	100.00	100.00	100.00	96.92	NA	93.10	100.00
RPGRIP1L=HsaEX0055470	33.02	NA	NA	NA	30.41	NA	NA	NA	13.94	NA	NA	NA
CEP152=HsaEX0014698	74.31	67.65	81.82	72.60	79.02	84.62	75.90	73.91	76.52	77.55	81.82	69.23
DTWD1=HsaEX0021115	5.52	NA	3.23	8.97	8.86	16.67	0.00	4.35	0.00	NA	0.00	0.00
DTWD1=HsaEX0021116	67.02	69.95	67.39	63.80	60.65	53.82	NA	65.22	47.84	NA	NA	NA
DMXL2=HsaEX0020056	96.61	NA	100.00	NA	91.40	78.95	100.00	100.00	96.49	100.00	NA	91.67
DMXL2=HsaEX0020054	95.60	100.00	86.67	100.00	88.33	95.65	89.74	77.14	90.10	86.67	82.86	100.00
DMXL2=HsaEX0020055	92.86	92.31	90.70	95.35	84.88	91.18	85.29	72.22	81.82	73.33	77.27	95.35
SPG11=HsaEX0061361	88.71	84.62	88.89	91.84	90.67	96.72	94.12	81.82	90.91	94.29	95.35	81.25
SGK3=HsaEX0057811	100.00	NA	NA	NA	83.33	NA	NA	NA	100.00	NA	NA	NA
SGK3=HsaEX0057812	100.00	NA	NA	NA	88.00	100.00	NA	NA	100.00	NA	NA	NA
SGK3=HsaEX0057813	100.00	NA	NA	NA	88.82	100.00	NA	NA	100.00	NA	NA	NA
SGK3=HsaEX0057814	100.00	NA	NA	NA	87.80	NA	NA	NA	100.00	NA	NA	NA
RIPK2=HsaEX0053748	51.46	49.21	44.28	60.64	47.67	50.00	49.39	42.56	52.92	45.16	53.85	59.57
CPQ=HsaEX0046808	92.86	NA	82.85	100.00	100.00	100.00	100.00	100.00	100.00	NA	100.00	100.00
CPQ=HsaEX0046806	92.21	100.00	100.00	83.33	97.59	100.00	92.31	100.00	96.23	NA	NA	100.00
IKBKB=HsaEX0031246	59.36	54.00	60.00	62.59	66.09	66.47	72.79	58.90	64.74	69.35	57.14	68.14
IKBKB=HsaEX0031247	79.02	77.27	78.85	80.85	84.21	81.46	90.24	81.13	87.90	92.41	82.35	90.00
IKBKB=HsaEX0031248	76.65	74.03	78.00	77.50	80.98	78.72	88.12	76.19	85.93	91.67	80.43	86.79
SPAG1=HsaEX0061142	68.11	82.95	66.53	58.22	78.09	73.46	83.57	78.77	73.79	77.57	78.55	66.70
SNX16=HsaEX0060820	0.00	NA	NA	NA	0.00	NA	NA	NA	11.11	NA	NA	NA
EEF1D=HsaEX0021626	11.64	NA	NA	NA	7.27	NA	NA	NA	18.94	NA	NA	NA
LIN7B=HsaEX0035880	84.76	100.00	78.26	82.86	83.18	90.24	80.00	76.92	85.37	90.91	81.25	85.71
LIN7B=HsaEX0035881	9.62	16.67	2.04	16.13	8.62	2.86	10.64	11.76	3.80	0.00	7.69	3.23
LIN7B=HsaEX0035882	80.00	64.71	82.76	89.47	81.16	83.33	73.91	86.36	82.61	86.21	77.78	83.33
FCGRT=HsaEX0025402	93.37	NA	NA	NA	95.62	100.00	89.19	NA	86.62	78.45	NA	NA
FCGRT=HsaEX0025403	94.86	NA	NA	100.00	86.80	91.67	NA	80.00	76.66	NA	NA	NA
FCGRT=HsaEX0025407	73.24	NA	NA	NA	88.41	92.31	100.00	NA	85.09	NA	NA	NA
DMPK=HsaEX0019990	63.51	78.57	61.54	58.82	65.36	69.49	60.61	66.67	61.54	72.09	55.84	61.29
CCDC61=HsaEX0013346	1.49	NA	0.00	0.00	7.96	2.56	7.69	16.98	3.33	NA	4.35	4.35
CCDC61=HsaEX0013347	95.79	100.00	100.00	92.16	91.67	92.59	100.00	81.37	89.74	92.59	91.30	85.71
CCDC61=HsaEX0013348	92.13	90.48	100.00	87.50	89.77	88.73	100.00	81.48	89.09	88.57	87.88	90.48
CCDC61=HsaEX0013353	95.00	100.00	100.00	87.88	95.00	100.00	90.91	93.75	88.57	90.48	92.31	82.61
VRK3=HsaEX0070704	45.45	NA	35.00	NA	NA	NA	NA	NA	NA	NA	NA	NA
C19orf44=HsaEX0009976	88.46	84.31	95.92	85.71	89.47	100.00	89.29	77.27	94.03	91.11	92.00	100.00
AKT2=HsaEX1003348	NA	NA	NA	4.35	NA	NA	24.32	29.73	NA	NA	NA	NA
AKT2=HsaEX0003487	13.04	8.11	16.67	13.33	11.43	16.13	9.80	10.34	19.61	25.71	20.00	14.29
BBC3=HsaEX0007746	100.00	100.00	100.00	NA	94.37	NA	96.67	83.33	100.00	100.00	100.00	100.00
DENND3=HsaEX0019159	57.09	60.29	59.35	52.33	58.19	47.93	69.58	62.67	46.89	49.13	48.22	NA
DENND3=HsaEX0019163	90.10	93.85	82.28	96.55	86.61	86.00	81.82	91.30	88.24	92.31	80.56	93.65
DENND3=HsaEX0019164	85.90	87.10	80.22	91.89	80.79	75.56	81.25	86.67	81.55	90.16	78.95	76.81
PTPRS=HsaEX0051225	76.70	70.37	80.58	79.06	83.04	81.38	90.06	79.09	87.57	89.07	85.12	87.83
MEGF8=HsaEX0038772	69.75	65.01	76.04	67.91	64.26	52.97	76.51	67.18	70.13	60.85	84.79	71.95
CARD8=HsaEX0012442	93.37	95.56	91.18	94.12	86.79	88.05	80.66	90.62	91.48	94.03	81.71	97.18
CARD8=HsaEX0012444	94.85	85.52	100.00	100.00	78.86	70.99	100.00	73.42	73.00	83.79	70.86	67.64
CARD8=HsaEX0012454	62.10	NA	NA	NA	70.13	69.81	73.91	NA	81.95	77.78	89.47	NA
CARD8=HsaEX0012443	84.11	77.44	93.05	81.68	90.26	95.14	NA	90.72	88.18	87.42	89.18	NA
CARD8=HsaEX0012448	88.15	85.74	88.90	88.91	89.22	86.85	84.26	100.00	89.36	96.08	79.58	90.31
CARD8=HsaEX0012450	94.34	93.75	94.87	94.29	90.62	100.00	70.59	94.29	96.46	95.56	100.00	94.87
CARD8=HsaEX0012451	78.57	82.86	84.21	69.23	68.99	72.00	58.82	73.33	76.70	70.00	76.92	83.78
PLA2G4C=HsaEX0047947	80.00	NA	NA	NA	95.74	100.00	NA	NA	91.67	NA	NA	NA
PLA2G4C=HsaEX0047946	81.34	NA	NA	NA	88.04	NA	NA	NA	100.00	NA	NA	NA
GCDH=HsaEX0027195	96.23	100.00	NA	NA	88.47	NA	NA	NA	85.71	NA	NA	NA
MAST1=HsaEX0037965	87.15	NA	NA	89.59	95.52	100.00	90.52	NA	100.00	NA	100.00	100.00
MAST1=HsaEX0037966	87.27	NA	NA	NA	95.47	100.00	NA	NA	100.00	NA	100.00	100.00
MAST1=HsaEX0037967	85.43	NA	82.51	NA	92.53	100.00	NA	NA	95.65	NA	89.47	NA
SLC5A5=HsaEX0059882	69.79	NA	NA	NA	74.87	NA	NA	NA	58.18	NA	NA	NA
LSR=HsaEX0036865	74.44	79.05	78.34	68.48	75.36	72.95	75.28	80.00	80.69	70.13	86.67	85.03
SIPA1L3=HsaEX0058418	77.07	76.63	72.63	81.45	86.94	84.43	88.12	88.86	87.01	83.08	83.78	93.48
ETHE1=HsaEX0023278	76.91	69.23	80.49	79.08	78.89	80.67	78.84	76.92	70.05	66.53	73.67	69.37
AVL9=HsaEX0007382	82.12	80.39	92.98	74.65	77.42	76.47	76.81	79.22	81.73	76.12	85.51	83.61
AVL9=HsaEX6007696	100.00	100.00	100.00	100.00	93.94	100.00	84.58	95.89	96.79	100.00	89.00	100.00
RASA4=HsaEX1030691	76.47	NA	NA	85.71	89.66	100.00	90.48	NA	92.73	86.21	NA	NA
RASA4=HsaEX1030692	71.83	73.91	NA	NA	91.18	100.00	90.00	NA	70.49	63.64	NA	NA
ITGB8=HsaEX0032487	14.39	13.02	14.53	15.48	13.74	21.27	11.35	5.35	14.67	24.34	10.56	9.49
DUS4L=HsaEX0021183	77.00	83.67	82.51	69.07	80.58	88.64	78.23	75.28	69.61	75.00	73.53	61.13
DUS4L=HsaEX0021186	83.33	85.19	89.47	77.55	78.87	80.70	72.73	82.93	81.28	81.82	74.36	89.66
WDR91=HsaEX0071434	91.23	87.10	100.00	88.46	94.07	96.61	100.00	78.57	91.38	94.74	87.10	91.49
TTC26=HsaEX0067876	81.37	81.25	86.11	76.47	87.93	86.81	81.58	96.92	87.04	96.77	85.29	81.40
TTC26=HsaEX0067877	80.49	79.59	87.76	75.76	85.71	90.32	74.07	94.74	81.01	90.91	80.77	74.19
TTC26=HsaEX0067878	88.57	80.00	94.87	90.16	92.54	88.89	91.30	100.00	91.30	92.59	100.00	84.91
LMBR1=HsaEX1021895	NA	NA	NA	NA	14.17	NA	NA	NA	4.76	NA	NA	NA
IQCE=HsaEX0032098	65.37	NA	NA	66.66	48.17	48.81	48.96	46.57	55.73	59.01	63.40	49.05
VIPR2=HsaEX0070375	100.00	NA	NA	NA	63.26	NA	NA	NA	70.89	NA	NA	NA
VIPR2=HsaEX0070376	90.03	NA	NA	90.27	100.00	NA	NA	NA	100.00	NA	NA	NA
VIPR2=HsaEX0070377	88.70	NA	NA	NA	100.00	NA	NA	NA	87.71	NA	90.18	NA
TSPAN12=HsaEX0067624	83.33	84.62	86.67	80.00	91.38	92.73	79.31	100.00	85.71	71.43	100.00	89.47
CPED1=HsaEX0011482	96.61	95.00	95.00	100.00	91.84	100.00	85.19	86.21	89.36	92.86	80.65	94.29
CPED1=HsaEX0011477	0.00	0.00	0.00	NA	13.64	13.04	NA	NA	9.68	8.33	13.33	NA
CPED1=HsaEX0011479	89.67	NA	NA	NA	100.00	100.00	NA	NA	100.00	NA	NA	NA
PLEKHA8=HsaEX0048304	78.92	73.13	82.26	80.02	79.74	91.84	82.77	64.49	80.14	NA	83.39	82.84
NOD1=HsaEX0043249	72.14	NA	NA	76.65	45.26	NA	NA	36.81	50.81	NA	NA	NA
NOD1=HsaEX0043250	93.34	NA	89.08	93.37	88.30	83.12	100.00	84.41	93.80	NA	100.00	100.00
NOD1=HsaEX0043251	94.23	NA	92.71	92.90	86.17	82.34	100.00	NA	93.58	83.69	100.00	100.00
NOD1=HsaEX0043255	83.03	71.67	90.75	85.67	78.44	73.81	76.15	NA	75.25	NA	NA	73.09
NOD1=HsaEX0043245	14.33	NA	16.77	16.67	9.33	8.82	NA	NA	8.64	0.00	5.26	NA
TFR2=HsaEX0064677	57.37	67.21	42.21	59.90	59.04	66.99	63.04	47.52	57.32	55.17	57.89	58.46
TFR2=HsaEX0064678	61.25	57.69	60.04	64.58	56.17	68.97	57.65	38.50	58.01	56.77	52.50	64.34
TFR2=HsaEX0064674	75.28	79.59	69.23	78.12	72.24	74.42	72.09	69.86	76.98	91.67	54.55	82.98
TFR2=HsaEX0064675	89.15	80.49	91.67	95.00	84.34	80.82	88.68	85.00	91.23	100.00	89.47	86.05
TFR2=HsaEX0064676	94.23	81.82	100.00	95.35	88.96	85.92	89.09	94.59	91.30	100.00	84.21	89.47
GLI3=HsaEX6007887	92.59	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
COA1=HsaEX0011453	50.00	47.37	48.05	54.55	61.13	70.37	51.43	56.52	75.64	NA	NA	NA
COA1=HsaEX0011454	52.27	33.33	NA	NA	42.53	39.39	NA	31.03	NA	NA	NA	NA
COA1=HsaEX0011452	76.34	66.27	NA	79.49	76.60	75.69	85.82	67.94	77.20	80.97	77.36	72.58
URGCP=HsaEX0069519	NA	NA	NA	NA	52.81	NA	NA	NA	44.04	NA	NA	NA
URGCP=HsaEX0069514	81.29	86.70	NA	NA	80.60	76.61	72.93	NA	73.17	83.01	70.96	NA
RHEB=HsaEX0053491	42.37	NA	NA	NA	52.50	NA	NA	NA	NA	NA	NA	NA
FKTN=HsaEX0025874	60.85	54.72	58.90	68.25	75.00	75.56	64.71	83.05	81.13	78.12	82.98	83.33
FKTN=HsaEX0025875	52.75	48.94	50.68	58.06	73.66	68.29	66.67	85.51	76.93	74.21	78.74	78.72
FKTN=HsaEX0025876	66.35	66.67	62.25	71.89	74.24	71.45	68.42	84.91	80.29	75.32	83.57	83.06
FKTN=HsaEX0025868	5.56	7.14	3.70	NA	2.78	7.69	NA	0.00	14.67	14.29	4.00	NA
FKTN=HsaEX0025878	16.51	14.96	14.71	19.49	17.73	21.96	15.24	12.10	5.97	2.54	13.59	3.89
FSD1L=HsaEX0026488	82.59	NA	NA	NA	NA	NA	NA	NA	67.90	NA	NA	NA
SPIN1=HsaEX0061418	NA	NA	NA	NA	9.32	NA	NA	NA	22.73	NA	NA	NA
SPIN1=HsaEX0061414	32.05	32.31	NA	21.88	34.92	26.80	NA	32.46	38.37	37.28	31.36	NA
SPIN1=HsaEX0061420	89.52	88.89	91.89	86.78	81.41	80.94	78.60	84.60	85.65	81.87	80.14	97.10
TLE4=HsaEX0065094	85.07	87.17	74.30	95.00	86.01	90.51	80.71	85.79	79.19	72.37	90.51	73.19
TLE4=HsaEX0065095	48.03	48.11	45.03	52.55	50.98	54.03	49.21	49.08	45.20	61.34	43.15	37.17
TLE4=HsaEX0065101	78.31	90.77	75.56	72.34	77.56	74.58	76.15	82.93	72.90	80.00	72.60	67.90
LHX6=HsaEX0035746	31.91	NA	NA	NA	22.50	NA	20.00	20.00	21.52	12.00	NA	22.58
SUSD1=HsaEX0062990	81.77	92.42	NA	NA	89.89	84.79	91.39	93.24	87.46	NA	78.78	100.00
SUSD1=HsaEX0062986	94.69	100.00	86.96	100.00	91.55	100.00	94.87	80.77	85.71	86.67	90.91	78.95
SUSD1=HsaEX0062987	94.35	100.00	89.14	95.68	90.86	96.65	96.64	78.53	85.06	89.44	90.82	74.38
SUSD1=HsaEX0062993	94.75	100.00	95.67	87.37	97.13	96.19	95.04	100.00	92.17	83.48	94.83	100.00
PLGRKT=HsaEX0011680	90.16	95.74	88.19	88.26	83.64	80.24	90.40	81.60	81.40	73.81	82.13	90.15
RIC1=HsaEX0034096	97.11	100.00	97.29	94.97	91.94	90.59	97.19	89.21	89.34	80.52	95.71	90.84
RIC1=HsaEX0034100	90.45	95.39	88.34	89.57	83.92	83.39	83.24	85.56	79.63	72.18	89.79	80.30
KDM4C=HsaEX0033307	90.40	100.00	100.00	78.18	97.44	94.12	100.00	100.00	91.49	83.78	93.75	100.00
KDM4C=HsaEX6060618	95.00	100.00	100.00	88.00	100.00	100.00	100.00	100.00	95.12	85.19	100.00	100.00
MPDZ=HsaEX0039904	15.38	17.95	15.56	13.04	13.91	14.75	27.27	5.26	17.65	17.24	15.94	20.93
DDX58=HsaEX0019006	81.21	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
DDX58=HsaEX6060948	84.04	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
DDX58=HsaEX6060949	83.59	NA	NA	NA	100.00	100.00	NA	NA	100.00	NA	NA	NA
DDX58=HsaEX0019004	81.44	NA	NA	NA	100.00	100.00	NA	NA	NA	NA	NA	NA
DDX58=HsaEX6060950	81.76	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
DDX58=HsaEX6060951	85.50	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
DDX58=HsaEX0019007	86.48	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
HPS1=HsaEX0030411	68.97	64.44	73.49	69.23	75.49	78.87	71.43	75.00	77.99	75.00	84.09	75.94
HPS1=HsaEX0030410	38.29	38.67	36.17	40.00	35.96	32.50	37.78	38.74	37.50	50.00	39.78	25.23
TRDMT1=HsaEX0066967	12.59	28.72	9.43	3.41	8.57	10.44	8.77	5.41	4.73	2.44	4.55	7.11
TRDMT1=HsaEX0066968	96.12	100.00	91.12	100.00	94.17	96.23	87.24	100.00	79.15	78.96	78.95	79.53
TRDMT1=HsaEX0066969	90.14	91.15	88.20	91.86	90.37	95.15	87.05	87.30	85.07	84.53	100.00	74.84
TRDMT1=HsaEX0066970	71.49	NA	86.37	NA	64.61	64.98	63.09	65.51	71.54	84.19	NA	56.34
MAPK8=HsaEX0037784	87.97	87.27	87.56	89.01	92.87	87.05	100.00	94.69	91.84	97.56	100.00	78.69
PLEKHA1=HsaEX0048218	49.65	58.62	53.33	40.74	57.81	68.89	55.56	50.00	56.13	66.04	60.00	42.31
CCSER2=HsaEX0024317	90.24	73.82	91.70	100.00	84.94	85.09	92.51	80.90	93.97	95.68	95.66	90.07
CCSER2=HsaEX0024308	92.66	82.56	92.53	100.00	88.05	88.59	94.86	82.63	95.48	96.45	96.93	92.79
CCSER2=HsaEX0024315	88.61	75.33	90.80	96.51	81.20	83.97	96.04	63.52	86.99	94.53	90.23	80.11
CCSER2=HsaEX0024316	89.71	72.72	90.14	100.00	84.31	83.22	94.02	78.80	92.74	95.41	93.63	88.67
BMPR1A=HsaEX0008235	92.35	100.00	100.00	NA	86.30	86.21	NA	91.67	88.36	NA	NA	78.70
NEURL1=HsaEX6090242	NA	NA	NA	NA	100.00	NA	NA	NA	90.48	NA	NA	NA
