EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
KLC3=HsaEX6095634	100.00	NA	100.00	100.00	94.26	100.00	100.00	83.31	100.00	100.00	100.00	100.00
DMPK=HsaEX0019987	5.88	NA	2.56	NA	14.29	17.24	7.14	NA	9.86	NA	NA	3.03
ERF=HsaEX7108908	11.32	NA	NA	NA	20.67	NA	NA	NA	7.76	7.88	NA	NA
ATP6V0A4=HsaEX6010764	100.00	NA	NA	NA	100.00	NA	NA	NA	89.47	NA	NA	NA
EIF4H=HsaEX7004208	NA	NA	NA	NA	77.23	NA	NA	NA	52.15	NA	NA	NA
SUSD1=HsaEX0062984	89.31	NA	94.37	84.36	91.08	100.00	86.49	NA	94.49	93.21	91.85	100.00
DHX15=HsaEX0019565	22.18	NA	NA	NA	14.45	2.86	NA	NA	19.05	NA	NA	NA
CEP126=HsaEX6004300	100.00	NA	NA	NA	96.69	100.00	90.90	NA	90.42	83.47	100.00	NA
CEP126=HsaEX6004298	83.25	NA	NA	NA	96.39	100.00	NA	NA	92.72	NA	NA	100.00
ITFG2=HsaEX0032302	NA	NA	NA	NA	80.34	NA	NA	NA	100.00	NA	NA	NA
ITFG2=HsaEX7006892	NA	NA	NA	NA	100.00	NA	NA	NA	88.24	NA	NA	NA
CNOT2=HsaEX0016018	NA	NA	NA	NA	49.95	NA	NA	NA	33.27	NA	NA	NA
NPHP3=HsaEX0043537	93.33	NA	NA	NA	88.46	100.00	NA	NA	87.23	NA	NA	NA
NPHP3=HsaEX0043539	74.36	NA	NA	NA	69.05	65.00	NA	71.43	78.18	91.67	NA	NA
OGG1=HsaEX0044699	17.41	NA	NA	17.41	1.63	3.81	0.00	NA	2.10	NA	NA	4.47
WNT5A=HsaEX6056695	88.85	94.03	86.55	86.29	87.67	98.04	83.14	78.09	91.53	87.14	97.30	90.35
ELMOD3=HsaEX0022178	NA	NA	NA	NA	72.85	NA	NA	NA	81.82	NA	NA	87.10
BIRC6=HsaEX6012820	100.00	100.00	100.00	100.00	92.71	100.00	100.00	78.46	100.00	100.00	100.00	100.00
LRRC42=HsaEX0036615	45.59	40.04	46.01	48.97	54.98	54.65	56.30	54.33	46.83	46.45	44.04	49.61
ATP5F1=HsaEX7102104	NA	NA	NA	NA	29.53	NA	NA	NA	17.61	NA	NA	NA
RSRP1=HsaEX7000113	32.94	NA	NA	NA	36.62	27.42	NA	51.96	31.88	NA	NA	18.52
