TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
NA	NA	NA	NA	NA	NA	RNF185
NA	NA	NA	NA	NA	NA	ETV6
NA	NA	NA	NA	NA	NA	ALG10
NA	NA	NA	NA	NA	NA	SINHCAF
NA	NA	NA	NA	NA	NA	AEBP2
NA	NA	NA	NA	NA	NA	ETNK1
NA	NA	NA	NA	NA	NA	TMEM117
NA	NA	NA	NA	NA	NA	COL2A1
NA	NA	NA	NA	NA	NA	GLIPR1
NA	NA	NA	NA	NA	NA	GAS2L3
NA	NA	NA	NA	NA	NA	SDSL
NA	NA	NA	NA	NA	NA	NUP58
NA	NA	NA	NA	NA	NA	SLC46A3
NA	NA	NA	NA	NA	NA	NABP2
NA	NA	NA	NA	NA	NA	CERS5
NA	NA	NA	NA	NA	NA	MYG1
NA	NA	NA	NA	NA	NA	TMBIM6
NA	NA	NA	NA	NA	NA	WDFY2
NA	NA	NA	NA	NA	NA	CDH24
NA	NA	NA	NA	NA	NA	TMX1
NA	NA	NA	NA	NA	NA	FRMD6
NA	NA	NA	NA	NA	NA	PELI2
NA	NA	NA	NA	NA	NA	NAA30
NA	NA	NA	NA	NA	NA	DCAF5
NA	NA	NA	NA	NA	NA	WDR89
NA	NA	NA	NA	NA	NA	ESR2
NA	NA	NA	NA	NA	NA	STON2
NA	NA	NA	NA	NA	NA	EFCAB11
NA	NA	NA	NA	NA	NA	JDP2
NA	NA	NA	NA	NA	NA	FBLN5
NA	NA	NA	NA	NA	NA	CLBA1
NA	NA	NA	NA	NA	NA	WARS1
NA	NA	NA	NA	NA	NA	WDR20
NA	NA	NA	NA	NA	NA	NIPA2
NA	NA	NA	NA	NA	NA	TCF12
NA	NA	NA	NA	NA	NA	ZSCAN29
NA	NA	NA	NA	NA	NA	BNIP2
NA	NA	NA	NA	NA	NA	GTF2A2
NA	NA	NA	NA	NA	NA	SKIC8
NA	NA	NA	NA	NA	NA	TPM1
NA	NA	NA	NA	NA	NA	PML
NA	NA	NA	NA	NA	NA	LINS1
NA	NA	NA	NA	NA	NA	PCSK6
NA	NA	NA	NA	NA	NA	CELF6
NA	NA	NA	NA	NA	NA	SCAMP2
NA	NA	NA	NA	NA	NA	FANCI
NA	NA	NA	NA	NA	NA	ABHD2
NA	NA	NA	NA	NA	NA	DET1
NA	NA	NA	NA	NA	NA	MFGE8
NA	NA	NA	NA	NA	NA	SEC11A
NA	NA	NA	NA	NA	NA	PMM2
NA	NA	NA	NA	NA	NA	FTO
NA	NA	NA	NA	NA	NA	UQCRC2
NA	NA	NA	NA	NA	NA	DHX38
NA	NA	NA	NA	NA	NA	ZFHX3
NA	NA	NA	NA	NA	NA	CMTM3
NA	NA	NA	NA	NA	NA	MBTPS1
NA	NA	NA	NA	NA	NA	RPS2
NA	NA	NA	NA	NA	NA	PDPK1
NA	NA	NA	NA	NA	NA	DEF8
NA	NA	NA	NA	NA	NA	GALNS
NA	NA	NA	NA	NA	NA	GAS8
NA	NA	NA	NA	NA	NA	KSR1
NA	NA	NA	NA	NA	NA	UTP4
NA	NA	NA	NA	NA	NA	GFOD2
NA	NA	NA	NA	NA	NA	PCTP
NA	NA	NA	NA	NA	NA	C17orf80
NA	NA	NA	NA	NA	NA	VPS53
NA	NA	NA	NA	NA	NA	NPEPPS
NA	NA	NA	NA	NA	NA	SSH2
NA	NA	NA	NA	NA	NA	ARSG
NA	NA	NA	NA	NA	NA	SS18
NA	NA	NA	NA	NA	NA	AFG3L2
NA	NA	NA	NA	NA	NA	PRELID3A
NA	NA	NA	NA	NA	NA	SLC39A6
NA	NA	NA	NA	NA	NA	RPRD1A
NA	NA	NA	NA	NA	NA	ESCO1
NA	NA	NA	NA	NA	NA	ARHGDIA
NA	NA	NA	NA	NA	NA	RAB40B
NA	NA	NA	NA	NA	NA	ANAPC11
NA	NA	NA	NA	NA	NA	FN3KRP
NA	NA	NA	NA	NA	NA	FOXK2
NA	NA	NA	NA	NA	NA	CEP131
NA	NA	NA	NA	NA	NA	CBX4
NA	NA	NA	NA	NA	NA	DYM
NA	NA	NA	NA	NA	NA	MAPK4
NA	NA	NA	NA	NA	NA	RETREG3
NA	NA	NA	NA	NA	NA	MIEN1
NA	NA	NA	NA	NA	NA	BRD4
NA	NA	NA	NA	NA	NA	SH3GL1
NA	NA	NA	NA	NA	NA	DUS3L
NA	NA	NA	NA	NA	NA	CCDC97
NA	NA	NA	NA	NA	NA	SIRT3
NA	NA	NA	NA	NA	NA	SOD1
NA	NA	NA	NA	NA	NA	DOP1B
NA	NA	NA	NA	NA	NA	SAE1
NA	NA	NA	NA	NA	NA	WTIP
NA	NA	NA	NA	NA	NA	ZNF473
NA	NA	NA	NA	NA	NA	PGD
NA	NA	NA	NA	NA	NA	BCL10
NA	NA	NA	NA	NA	NA	AZIN2
NA	NA	NA	NA	NA	NA	MTF2
NA	NA	NA	NA	NA	NA	CTTNBP2NL
NA	NA	NA	NA	NA	NA	GPR161
NA	NA	NA	NA	NA	NA	ATP1B1
NA	NA	NA	NA	NA	NA	POGK
NA	NA	NA	NA	NA	NA	MPC2
NA	NA	NA	NA	NA	NA	CREG1
NA	NA	NA	NA	NA	NA	UCK2
NA	NA	NA	NA	NA	NA	TMCO1
NA	NA	NA	NA	NA	NA	POU2F1
NA	NA	NA	NA	NA	NA	SDHC
NA	NA	NA	NA	NA	NA	PFDN2
NA	NA	NA	NA	NA	NA	HDGF
NA	NA	NA	NA	NA	NA	XPR1
NA	NA	NA	NA	NA	NA	TOR1AIP1
NA	NA	NA	NA	NA	NA	LYPLAL1
NA	NA	NA	NA	NA	NA	PRUNE1
NA	NA	NA	NA	NA	NA	PIP5K1A
NA	NA	NA	NA	NA	NA	ANP32E
NA	NA	NA	NA	NA	NA	ENSA
NA	NA	NA	NA	NA	NA	MRPL9
NA	NA	NA	NA	NA	NA	HORMAD1
NA	NA	NA	NA	NA	NA	GABPB2
NA	NA	NA	NA	NA	NA	DUSP10
NA	NA	NA	NA	NA	NA	ADAM15
NA	NA	NA	NA	NA	NA	JTB
NA	NA	NA	NA	NA	NA	C1orf43
NA	NA	NA	NA	NA	NA	RIT1
NA	NA	NA	NA	NA	NA	MAP3K21
NA	NA	NA	NA	NA	NA	ACP1
NA	NA	NA	NA	NA	NA	SNAP47
NA	NA	NA	NA	NA	NA	NVL
NA	NA	NA	NA	NA	NA	SDE2
NA	NA	NA	NA	NA	NA	FBXO28
NA	NA	NA	NA	NA	NA	CNIH4
NA	NA	NA	NA	NA	NA	ITPKB
NA	NA	NA	NA	NA	NA	MBOAT2
NA	NA	NA	NA	NA	NA	LBR
NA	NA	NA	NA	NA	NA	HNRNPLL
NA	NA	NA	NA	NA	NA	GALM
NA	NA	NA	NA	NA	NA	CAMKMT
NA	NA	NA	NA	NA	NA	CALM2
NA	NA	NA	NA	NA	NA	CIAO1
NA	NA	NA	NA	NA	NA	ZNF514
NA	NA	NA	NA	NA	NA	TPRKB
NA	NA	NA	NA	NA	NA	NPHP1
NA	NA	NA	NA	NA	NA	RALB
NA	NA	NA	NA	NA	NA	RABL2A
NA	NA	NA	NA	NA	NA	SLC20A1
NA	NA	NA	NA	NA	NA	FBLN7
NA	NA	NA	NA	NA	NA	ZC3H8
NA	NA	NA	NA	NA	NA	LIPT1
NA	NA	NA	NA	NA	NA	SPOPL
NA	NA	NA	NA	NA	NA	SCRN3
NA	NA	NA	NA	NA	NA	ZNF385B
NA	NA	NA	NA	NA	NA	CDCA7
NA	NA	NA	NA	NA	NA	DLX1
NA	NA	NA	NA	NA	NA	HSPD1
NA	NA	NA	NA	NA	NA	METTL21A
NA	NA	NA	NA	NA	NA	KANSL1L
NA	NA	NA	NA	NA	NA	SPAG16
NA	NA	NA	NA	NA	NA	SUMF1
NA	NA	NA	NA	NA	NA	NYAP2
NA	NA	NA	NA	NA	NA	RHBDD1
NA	NA	NA	NA	NA	NA	COPS7B
NA	NA	NA	NA	NA	NA	DIS3L2
NA	NA	NA	NA	NA	NA	VGLL4
NA	NA	NA	NA	NA	NA	RAB5A
NA	NA	NA	NA	NA	NA	RETREG2
NA	NA	NA	NA	NA	NA	CTDSP1
NA	NA	NA	NA	NA	NA	CNOT9
NA	NA	NA	NA	NA	NA	STK11IP
NA	NA	NA	NA	NA	NA	GMPPA
NA	NA	NA	NA	NA	NA	DYNC1LI1
NA	NA	NA	NA	NA	NA	OSBPL10
NA	NA	NA	NA	NA	NA	CSRNP1
NA	NA	NA	NA	NA	NA	SLC25A38
NA	NA	NA	NA	NA	NA	STAC
NA	NA	NA	NA	NA	NA	SHQ1
NA	NA	NA	NA	NA	NA	UBA3
NA	NA	NA	NA	NA	NA	TMF1
NA	NA	NA	NA	NA	NA	LIMD1
NA	NA	NA	NA	NA	NA	COL8A1
NA	NA	NA	NA	NA	NA	ABHD10
NA	NA	NA	NA	NA	NA	ATG3
NA	NA	NA	NA	NA	NA	SRPRB
NA	NA	NA	NA	NA	NA	EIF2A
NA	NA	NA	NA	NA	NA	OSBPL11
NA	NA	NA	NA	NA	NA	NCEH1
NA	NA	NA	NA	NA	NA	LPP
NA	NA	NA	NA	NA	NA	TMEM44
NA	NA	NA	NA	NA	NA	ECE2
NA	NA	NA	NA	NA	NA	SCD5
NA	NA	NA	NA	NA	NA	ENOPH1
NA	NA	NA	NA	NA	NA	KLHL8
NA	NA	NA	NA	NA	NA	CISD2
NA	NA	NA	NA	NA	NA	NAF1
NA	NA	NA	NA	NA	NA	PDGFC
NA	NA	NA	NA	NA	NA	CBR4
NA	NA	NA	NA	NA	NA	NKD2
NA	NA	NA	NA	NA	NA	SRD5A1
NA	NA	NA	NA	NA	NA	SKP2
NA	NA	NA	NA	NA	NA	LHFPL2
NA	NA	NA	NA	NA	NA	GIN1
NA	NA	NA	NA	NA	NA	GTF2H2
NA	NA	NA	NA	NA	NA	FBXL17
NA	NA	NA	NA	NA	NA	TNFAIP8
NA	NA	NA	NA	NA	NA	COMMD10
NA	NA	NA	NA	NA	NA	ATG12
NA	NA	NA	NA	NA	NA	YIPF5
NA	NA	NA	NA	NA	NA	RNF145
NA	NA	NA	NA	NA	NA	ZNF300
NA	NA	NA	NA	NA	NA	N4BP3
NA	NA	NA	NA	NA	NA	RMND5B
NA	NA	NA	NA	NA	NA	BOD1
NA	NA	NA	NA	NA	NA	KLHL3
NA	NA	NA	NA	NA	NA	PRIM2
NA	NA	NA	NA	NA	NA	PM20D2
NA	NA	NA	NA	NA	NA	RARS2
NA	NA	NA	NA	NA	NA	TBC1D32
NA	NA	NA	NA	NA	NA	RNF217
NA	NA	NA	NA	NA	NA	AIG1
NA	NA	NA	NA	NA	NA	DYNLT1
NA	NA	NA	NA	NA	NA	TIAM2
NA	NA	NA	NA	NA	NA	SLC22A3
NA	NA	NA	NA	NA	NA	GNA12
NA	NA	NA	NA	NA	NA	CCZ1B
NA	NA	NA	NA	NA	NA	INTS15
NA	NA	NA	NA	NA	NA	CDCA5
NA	NA	NA	NA	NA	NA	IGFBP3
NA	NA	NA	NA	NA	NA	POMZP3
NA	NA	NA	NA	NA	NA	NIPSNAP2
NA	NA	NA	NA	NA	NA	PSPH
NA	NA	NA	NA	NA	NA	TRIM4
NA	NA	NA	NA	NA	NA	TMEM209
NA	NA	NA	NA	NA	NA	ZC3HAV1L
NA	NA	NA	NA	NA	NA	TLK2
NA	NA	NA	NA	NA	NA	LUC7L2
NA	NA	NA	NA	NA	NA	SNX12
NA	NA	NA	NA	NA	NA	DIAPH2
NA	NA	NA	NA	NA	NA	MFHAS1
NA	NA	NA	NA	NA	NA	CSGALNACT1
NA	NA	NA	NA	NA	NA	HMBOX1
NA	NA	NA	NA	NA	NA	ERLIN2
NA	NA	NA	NA	NA	NA	RGS20
NA	NA	NA	NA	NA	NA	PLPP5
NA	NA	NA	NA	NA	NA	GINS4
NA	NA	NA	NA	NA	NA	MRPS28
NA	NA	NA	NA	NA	NA	LACTB2
NA	NA	NA	NA	NA	NA	SYBU
NA	NA	NA	NA	NA	NA	MTDH
NA	NA	NA	NA	NA	NA	EIF3H
NA	NA	NA	NA	NA	NA	ZNF7
NA	NA	NA	NA	NA	NA	ARHGAP39
NA	NA	NA	NA	NA	NA	NFIB
NA	NA	NA	NA	NA	NA	SIGMAR1
NA	NA	NA	NA	NA	NA	IDNK
NA	NA	NA	NA	NA	NA	AUH
NA	NA	NA	NA	NA	NA	MFSD14B
NA	NA	NA	NA	NA	NA	AOPEP
NA	NA	NA	NA	NA	NA	INIP
NA	NA	NA	NA	NA	NA	UGCG
NA	NA	NA	NA	NA	NA	STOM
NA	NA	NA	NA	NA	NA	MRRF
NA	NA	NA	NA	NA	NA	SURF1
NA	NA	NA	NA	NA	NA	SURF2
NA	NA	NA	NA	NA	NA	REXO4
NA	NA	NA	NA	NA	NA	CIZ1
NA	NA	NA	NA	NA	NA	SH3GLB2
NA	NA	NA	NA	NA	NA	NACC2
NA	NA	NA	NA	NA	NA	PDSS1
NA	NA	NA	NA	NA	NA	RSU1
NA	NA	NA	NA	NA	NA	PARD3
NA	NA	NA	NA	NA	NA	ZEB1
NA	NA	NA	NA	NA	NA	NRBF2
NA	NA	NA	NA	NA	NA	HERC4
NA	NA	NA	NA	NA	NA	LRMDA
NA	NA	NA	NA	NA	NA	GLUD1
NA	NA	NA	NA	NA	NA	ANKRD1
NA	NA	NA	NA	NA	NA	RPP30
NA	NA	NA	NA	NA	NA	ADD3
NA	NA	NA	NA	NA	NA	TCF7L2
NA	NA	NA	NA	NA	NA	MKI67
NA	NA	NA	NA	NA	NA	FUOM
NA	NA	NA	NA	NA	NA	LRRC27
NA	NA	NA	NA	NA	NA	CNNM2
NA	NA	NA	NA	NA	NA	RGS10
NA	NA	NA	NA	NA	NA	BTBD10
NA	NA	NA	NA	NA	NA	HSD17B12
NA	NA	NA	NA	NA	NA	APIP
NA	NA	NA	NA	NA	NA	ARFGAP2
NA	NA	NA	NA	NA	NA	CELF1
NA	NA	NA	NA	NA	NA	HIKESHI
NA	NA	NA	NA	NA	NA	CCDC82
NA	NA	NA	NA	NA	NA	CAPN5
NA	NA	NA	NA	NA	NA	ZC3H12C
NA	NA	NA	NA	NA	NA	KAT14
NA	NA	NA	NA	NA	NA	TMEM138
NA	NA	NA	NA	NA	NA	ESAM
NA	NA	NA	NA	NA	NA	TMEM25
NA	NA	NA	NA	NA	NA	JPH2
NA	NA	NA	NA	NA	NA	COMMD7
NA	NA	NA	NA	NA	NA	LSM14B
NA	NA	NA	NA	NA	NA	YTHDF1
NA	NA	NA	NA	NA	NA	LTO1
NA	NA	NA	NA	NA	NA	VPS51
NA	NA	NA	NA	NA	NA	ALDOA
NA	NA	NA	NA	NA	NA	TMEM219
NA	NA	NA	NA	NA	NA	TMEM218
NA	NA	NA	NA	NA	NA	EEF1AKMT1
NA	NA	NA	NA	NA	NA	SAP18
NA	NA	NA	NA	NA	NA	KIAA1328
NA	NA	NA	NA	NA	NA	FAM124A
NA	NA	NA	NA	NA	NA	VEGFC
NA	NA	NA	NA	NA	NA	PRSS23
NA	NA	NA	NA	NA	NA	IL18
NA	NA	NA	NA	NA	NA	PTS
NA	NA	NA	NA	NA	NA	PIP4K2A
NA	NA	NA	NA	NA	NA	ABCB9
NA	NA	NA	NA	NA	NA	UEVLD
NA	NA	NA	NA	NA	NA	NOPCHAP1
NA	NA	NA	NA	NA	NA	TMEM263
NA	NA	NA	NA	NA	NA	TWF1
NA	NA	NA	NA	NA	NA	EIF4E
NA	NA	NA	NA	NA	NA	SRFBP1
NA	NA	NA	NA	NA	NA	FAM177A1
NA	NA	NA	NA	NA	NA	MBIP
NA	NA	NA	NA	NA	NA	MIPOL1
NA	NA	NA	NA	NA	NA	TMEM18
NA	NA	NA	NA	NA	NA	ME3
NA	NA	NA	NA	NA	NA	NUBPL
NA	NA	NA	NA	NA	NA	NEK7
NA	NA	NA	NA	NA	NA	ANKRD50
NA	NA	NA	NA	NA	NA	UPF2
NA	NA	NA	NA	NA	NA	CDC123
NA	NA	NA	NA	NA	NA	SCLT1
NA	NA	NA	NA	NA	NA	C4orf33
NA	NA	NA	NA	NA	NA	EPS8
NA	NA	NA	NA	NA	NA	VTI1A
NA	NA	NA	NA	NA	NA	QDPR
NA	NA	NA	NA	NA	NA	EDNRA
NA	NA	NA	NA	NA	NA	PIGF
NA	NA	NA	NA	NA	NA	INPP1
NA	NA	NA	NA	NA	NA	MFSD6
NA	NA	NA	NA	NA	NA	WWC2
NA	NA	NA	NA	NA	NA	SLC25A4
NA	NA	NA	NA	NA	NA	CENPJ
NA	NA	NA	NA	NA	NA	FBXO4
NA	NA	NA	NA	NA	NA	TMEM267
NA	NA	NA	NA	NA	NA	CACUL1
NA	NA	NA	NA	NA	NA	AP1S3
NA	NA	NA	NA	NA	NA	FAM168B
NA	NA	NA	NA	NA	NA	GPATCH11
NA	NA	NA	NA	NA	NA	SETBP1
NA	NA	NA	NA	NA	NA	ARL14EP
NA	NA	NA	NA	NA	NA	PSTPIP2
NA	NA	NA	NA	NA	NA	ATP5F1A
NA	NA	NA	NA	NA	NA	HAUS1
NA	NA	NA	NA	NA	NA	SPC25
NA	NA	NA	NA	NA	NA	PDK1
NA	NA	NA	NA	NA	NA	PDE3B
NA	NA	NA	NA	NA	NA	TGOLN2
NA	NA	NA	NA	NA	NA	UHMK1
NA	NA	NA	NA	NA	NA	ATG10
NA	NA	NA	NA	NA	NA	POC5
NA	NA	NA	NA	NA	NA	TADA1
NA	NA	NA	NA	NA	NA	JMY
NA	NA	NA	NA	NA	NA	HOMER1
NA	NA	NA	NA	NA	NA	XRCC4
NA	NA	NA	NA	NA	NA	USP12
NA	NA	NA	NA	NA	NA	TRIM36
NA	NA	NA	NA	NA	NA	NADK2
NA	NA	NA	NA	NA	NA	GPD1L
NA	NA	NA	NA	NA	NA	SLC30A6
NA	NA	NA	NA	NA	NA	CATSPER3
NA	NA	NA	NA	NA	NA	PANK1
NA	NA	NA	NA	NA	NA	HNRNPDL
NA	NA	NA	NA	NA	NA	GGPS1
NA	NA	NA	NA	NA	NA	MARVELD2
NA	NA	NA	NA	NA	NA	PLOD2
NA	NA	NA	NA	NA	NA	ADGRA3
NA	NA	NA	NA	NA	NA	SREK1IP1
NA	NA	NA	NA	NA	NA	MR1
NA	NA	NA	NA	NA	NA	CENPH
NA	NA	NA	NA	NA	NA	CDYL
NA	NA	NA	NA	NA	NA	CARHSP1
NA	NA	NA	NA	NA	NA	HNRNPU
NA	NA	NA	NA	NA	NA	LPCAT1
NA	NA	NA	NA	NA	NA	NMRAL1
NA	NA	NA	NA	NA	NA	CMTM7
NA	NA	NA	NA	NA	NA	RMND5A
NA	NA	NA	NA	NA	NA	RPIA
NA	NA	NA	NA	NA	NA	GTF2E1
NA	NA	NA	NA	NA	NA	JAZF1
NA	NA	NA	NA	NA	NA	PID1
NA	NA	NA	NA	NA	NA	MSI2
NA	NA	NA	NA	NA	NA	ZUP1
NA	NA	NA	NA	NA	NA	GDPD1
NA	NA	NA	NA	NA	NA	SDHAF4
NA	NA	NA	NA	NA	NA	OTULIN
NA	NA	NA	NA	NA	NA	RETREG1
NA	NA	NA	NA	NA	NA	PITPNC1
NA	NA	NA	NA	NA	NA	NEIL2
NA	NA	NA	NA	NA	NA	CCSAP
NA	NA	NA	NA	NA	NA	SH3RF1
NA	NA	NA	NA	NA	NA	PDLIM3
NA	NA	NA	NA	NA	NA	BTG3
NA	NA	NA	NA	NA	NA	MRPL39
NA	NA	NA	NA	NA	NA	CCDC174
NA	NA	NA	NA	NA	NA	RAB6B
NA	NA	NA	NA	NA	NA	ZNF18
NA	NA	NA	NA	NA	NA	APOOL
NA	NA	NA	NA	NA	NA	PIP4P2
NA	NA	NA	NA	NA	NA	OTUD6B
NA	NA	NA	NA	NA	NA	AGPAT5
NA	NA	NA	NA	NA	NA	TRMT44
NA	NA	NA	NA	NA	NA	HSPA13
NA	NA	NA	NA	NA	NA	USP25
NA	NA	NA	NA	NA	NA	ZCCHC10
NA	NA	NA	NA	NA	NA	C16orf87
NA	NA	NA	NA	NA	NA	SLC16A1
NA	NA	NA	NA	NA	NA	LARP1
NA	NA	NA	NA	NA	NA	CNOT8
NA	NA	NA	NA	NA	NA	HYCC2
NA	NA	NA	NA	NA	NA	DEPTOR
NA	NA	NA	NA	NA	NA	PXYLP1
NA	NA	NA	NA	NA	NA	RMND1
NA	NA	NA	NA	NA	NA	VPS37A
NA	NA	NA	NA	NA	NA	CARNMT1
NA	NA	NA	NA	NA	NA	MCU
NA	NA	NA	NA	NA	NA	GNAQ
NA	NA	NA	NA	NA	NA	ADK
NA	NA	NA	NA	NA	NA	DRAM2
NA	NA	NA	NA	NA	NA	CFAP418
NA	NA	NA	NA	NA	NA	USP16
NA	NA	NA	NA	NA	NA	MAP3K7CL
NA	NA	NA	NA	NA	NA	BACH1
NA	NA	NA	NA	NA	NA	PCGF6
NA	NA	NA	NA	NA	NA	ATP5MJ
NA	NA	NA	NA	NA	NA	PABIR3
NA	NA	NA	NA	NA	NA	HK1
NA	NA	NA	NA	NA	NA	ZDHHC5
NA	NA	NA	NA	NA	NA	ZFAND3
NA	NA	NA	NA	NA	NA	NPTN
NA	NA	NA	NA	NA	NA	KAT6B
NA	NA	NA	NA	NA	NA	SAMD8
NA	NA	NA	NA	NA	NA	RAB11FIP1
NA	NA	NA	NA	NA	NA	AIFM1
NA	NA	NA	NA	NA	NA	NSMCE2
NA	NA	NA	NA	NA	NA	BUB1B
NA	NA	NA	NA	NA	NA	RPUSD3
NA	NA	NA	NA	NA	NA	SEC13
NA	NA	NA	NA	NA	NA	EXOG
NA	NA	NA	NA	NA	NA	SMG1
NA	NA	NA	NA	NA	NA	FCHO2
NA	NA	NA	NA	NA	NA	CPT2
NA	NA	NA	NA	NA	NA	NECAP2
NA	NA	NA	NA	NA	NA	LRP8
NA	NA	NA	NA	NA	NA	SSBP3
NA	NA	NA	NA	NA	NA	DHRS1
NA	NA	NA	NA	NA	NA	ARSL
NA	NA	NA	NA	NA	NA	CACNA2D3
NA	NA	NA	NA	NA	NA	CCNB2
NA	NA	NA	NA	NA	NA	SLC35B2
NA	NA	NA	NA	NA	NA	TMEM164
NA	NA	NA	NA	NA	NA	SLC38A10
NA	NA	NA	NA	NA	NA	TMEM268
NA	NA	NA	NA	NA	NA	SLC37A3
NA	NA	NA	NA	NA	NA	SPPL3
NA	NA	NA	NA	NA	NA	RER1
NA	NA	NA	NA	NA	NA	LDLRAP1
NA	NA	NA	NA	NA	NA	PRXL2C
NA	NA	NA	NA	NA	NA	CNNM4
NA	NA	NA	NA	NA	NA	GPR153
NA	NA	NA	NA	NA	NA	CDC25C
NA	NA	NA	NA	NA	NA	H4C8
NA	NA	NA	NA	NA	NA	RIBC1
NA	NA	NA	NA	NA	NA	B4GALT5
NA	NA	NA	NA	NA	NA	SPATA2
NA	NA	NA	NA	NA	NA	ZC3H18
NA	NA	NA	NA	NA	NA	ZSCAN12
NA	NA	NA	NA	NA	NA	ELK4
NA	NA	NA	NA	NA	NA	DEDD
NA	NA	NA	NA	NA	NA	ZNF276
NA	NA	NA	NA	NA	NA	CDA
NA	NA	NA	NA	NA	NA	FHIP2B
NA	NA	NA	NA	NA	NA	TOMM40L
NA	NA	NA	NA	NA	NA	CACHD1
NA	NA	NA	NA	NA	NA	CDC42SE2
NA	NA	NA	NA	NA	NA	ALG8
NA	NA	NA	NA	NA	NA	IFNAR2
NA	NA	NA	NA	NA	NA	MRPL10
NA	NA	NA	NA	NA	NA	GART
NA	NA	NA	NA	NA	NA	SON
NA	NA	NA	NA	NA	NA	DONSON
NA	NA	NA	NA	NA	NA	ATP5MC1
NA	NA	NA	NA	NA	NA	SNF8
NA	NA	NA	NA	NA	NA	CCDC24
NA	NA	NA	NA	NA	NA	RUNX1
NA	NA	NA	NA	NA	NA	MORC3
NA	NA	NA	NA	NA	NA	CHAF1B
NA	NA	NA	NA	NA	NA	HLCS
NA	NA	NA	NA	NA	NA	ADPGK
NA	NA	NA	NA	NA	NA	CYB5R1
NA	NA	NA	NA	NA	NA	ATP13A2
NA	NA	NA	NA	NA	NA	HK2
NA	NA	NA	NA	NA	NA	THEM4
NA	NA	NA	NA	NA	NA	GPBP1L1
NA	NA	NA	NA	NA	NA	NAE1
NA	NA	NA	NA	NA	NA	ANKRD18CP
NA	NA	NA	NA	NA	NA	ATP6V0D1
NA	NA	NA	NA	NA	NA	ZYX
NA	NA	NA	NA	NA	NA	CCDC117
NA	NA	NA	NA	NA	NA	DFFA
NA	NA	NA	NA	NA	NA	CCDC28B
NA	NA	NA	NA	NA	NA	TMEM234
NA	NA	NA	NA	NA	NA	ZBTB8A
NA	NA	NA	NA	NA	NA	ZNF362
NA	NA	NA	NA	NA	NA	MIX23
NA	NA	NA	NA	NA	NA	TMPRSS3
NA	NA	NA	NA	NA	NA	HSF2BP
NA	NA	NA	NA	NA	NA	RRP1B
NA	NA	NA	NA	NA	NA	CFAP410
NA	NA	NA	NA	NA	NA	SLX9
NA	NA	NA	NA	NA	NA	SPATC1L
NA	NA	NA	NA	NA	NA	C19orf47
NA	NA	NA	NA	NA	NA	ST6GALNAC6
NA	NA	NA	NA	NA	NA	RDH13
NA	NA	NA	NA	NA	NA	DEDD2
NA	NA	NA	NA	NA	NA	ZBTB7B
NA	NA	NA	NA	NA	NA	ANO10
NA	NA	NA	NA	NA	NA	RUSC1
NA	NA	NA	NA	NA	NA	ENTREP3
NA	NA	NA	NA	NA	NA	LMNA
NA	NA	NA	NA	NA	NA	CCDC12
NA	NA	NA	NA	NA	NA	GPATCH4
NA	NA	NA	NA	NA	NA	CPSF4
NA	NA	NA	NA	NA	NA	PWWP3A
NA	NA	NA	NA	NA	NA	RPL8
NA	NA	NA	NA	NA	NA	NAPEPLD
NA	NA	NA	NA	NA	NA	PCYT1A
NA	NA	NA	NA	NA	NA	BDH1
NA	NA	NA	NA	NA	NA	SAP30BP
NA	NA	NA	NA	NA	NA	ZNF385A
NA	NA	NA	NA	NA	NA	RACGAP1
NA	NA	NA	NA	NA	NA	LARP4
NA	NA	NA	NA	NA	NA	CXCL16
NA	NA	NA	NA	NA	NA	SENP3
NA	NA	NA	NA	NA	NA	TBC1D24
NA	NA	NA	NA	NA	NA	FLYWCH2
NA	NA	NA	NA	NA	NA	ADCY9
NA	NA	NA	NA	NA	NA	CLPB
NA	NA	NA	NA	NA	NA	CYB561A3
NA	NA	NA	NA	NA	NA	TTC9C
NA	NA	NA	NA	NA	NA	NXF1
NA	NA	NA	NA	NA	NA	STX5
NA	NA	NA	NA	NA	NA	TPCN2
NA	NA	NA	NA	NA	NA	CZIB
NA	NA	NA	NA	NA	NA	PLPP3
NA	NA	NA	NA	NA	NA	NOL9
NA	NA	NA	NA	NA	NA	PRKAA2
NA	NA	NA	NA	NA	NA	GMEB1
NA	NA	NA	NA	NA	NA	LZIC
NA	NA	NA	NA	NA	NA	FBLIM1
NA	NA	NA	NA	NA	NA	SYNC
NA	NA	NA	NA	NA	NA	NHSL3
NA	NA	NA	NA	NA	NA	TMCO4
NA	NA	NA	NA	NA	NA	ALPL
NA	NA	NA	NA	NA	NA	NFIA
NA	NA	NA	NA	NA	NA	OMA1
NA	NA	NA	NA	NA	NA	TM2D1
NA	NA	NA	NA	NA	NA	USP1
NA	NA	NA	NA	NA	NA	NEXN
NA	NA	NA	NA	NA	NA	DNAJB4
NA	NA	NA	NA	NA	NA	TYW3
NA	NA	NA	NA	NA	NA	SNX7
NA	NA	NA	NA	NA	NA	HENMT1
NA	NA	NA	NA	NA	NA	TRIM58
NA	NA	NA	NA	NA	NA	DDR2
