TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
EML5	PAPLN	LIN7B	NOD1	CDK19	POLG2	NRXN3
ZNF337-AS1	LINC00239	CPS1	ARVCF	PUS10	AOC2	OSBPL5
INTS6	TEX22	USP43	HOXC13-AS	PTPRS	SLC46A1	AQR
LRRC20	ZNF789	COBLL1	MROH1	SERGEF	ACAP3	SLC45A4
ATP9B	C1QTNF12	RMDN2	MTMR11	ZDHHC20	NOTCH1	ZDHHC6
FAM131A	ANK3	CCDC57	RP11-660L16.2	SUN1	ARL13B	GRAMD1B
GANC	LINC01270	HDAC8	RP11-69E11.4	ZKSCAN4	EGFL8	NDUFS1
DGKQ	PTENP1-AS	SFMBT2	COX6B2	BDP1	EML3	RB1CC1
TMEM182	FUK	SNED1	C20orf194	RPAIN	DDR1	ALAS1
C3orf33	STX1B	RAD51D	TMEM9	GUSBP11	RAE1	BIRC3
ZNF107	ARHGEF4	ZNF510	DCLK2	TCF25	FAM167B	SNAPC1
C9orf3	RP11-849H4.2	PASK	VAMP4	PRMT2	TDRKH-AS1	DERA
GRTP1	SLX4	WDPCP	RP11-314A20.2	LCOR	SPG11	GCLM
PTEN	RNF146	CELSR3	ESYT3	ZRANB2-AS2	ZCCHC14	CCDC28A
MYL5	AVL9	GALK2	GALE	HOOK2	EOGT	HSF2
TTBK2	TRAF3IP2-AS1	FGGY	RP11-242D8.1	SEC24C	MBD4	PHF20
SDCCAG8	CTD-2303H24.2	OXNAD1	AC026150.8	ABLIM1	UBXN11	TOMM34
BAZ2B	STK19	FCF1	NXNL2	ZNF215	MAP3K6	KPNA6
USH1C	KREMEN2	MNX1	KCNMB2-AS1	ASAP1	ACAD8	VIM
ZNF311	MTRF1	HYLS1	NCOA1	ARHGEF10L	ACOT11	RTEL1-TNFRSF6B
MARCH1	RHBDL1	ISM1	ALS2CL	RP5-1198O20.4	FRMD8	MIPEP
CLUHP3	DND1	GUSBP11	PAPLN	DENND5B	ARHGEF17	PRKCH
SCNN1D	CDC16	SPEG	RP11-441O15.3	TBC1D17	BTN2A1	IFNGR1
SRGAP1	ZNF341	ZNF717	DOK1	FAM135A	VEGFB	BRD9
TRADD	ACCS	FAM135A	TMC6	COL12A1	MBNL2	BMAL2
SBF2-AS1	ZNF426	RFX3	LINC00239	ARRDC3	CTH	BCLAF1
MFSD4B	MSH5	RHPN1	ABCC3	ERG	MED12	RABEP1
ZBTB34	RP11-543D5.2	SHARPIN	SGK494	TCTN3	PCSK1	NUP160
SUCLG2-AS1	SERPINB1	IGF2BP2	ANK3	SENP7	PIP5K1C	CENPQ
SLC9A5	RHEBL1	OAZ3	AVL9	HIVEP3	GBA2	ARID4A
SIPA1L2	DAW1	FUBP1	LYSMD4	LINC00342	ARAP3	PNPLA6
TAF1A	RP11-867G23.10	MFSD8	KREMEN2	STARD8	SLC9B2	ALG1
RASA4	HAS2-AS1	ZNF618	SERPINB1	UGGT2	KAT2A	ABCF2
MAMLD1	ARHGAP27P1-BPTFP1-KPNA2P3	CLCN2	LINC01806	FGGY	MATN2	UBA6
PDE4D	HOXC4	CACNB1	DAW1	POLR1A	PPM1M	ATP6V0A1
KIF9-AS1	SLC16A5	MIR100HG	SLC16A5	SUGCT	CHTF18	SLC4A7
NCK2	PLA2G4B	C8orf44	PLA2G4B	STX11	CCNDBP1	MAP2K3
GMIP	TM7SF2	QRICH2	PLEKHN1	MARCH8	PLEKHA1	ASTE1
HOXC4	HOTAIR	BAZ2B	RAD52	CHN1	FAM109B	PEX3
GOLGA8M	CXCL3	TMCC1	AGER	GUF1	AP3M2	GABARAPL2
TENM3	RAD52	CTD-2341M24.1	KIAA0556	FANCD2	CSNK1D	FAM136A
CARMIL1	SCML1	SLC25A33	LHX6	KIAA1211	RIN1	VCL
ITGA6	AGER	ARHGEF26	POLN	ZNF320	DGKE	DEPDC1B
SPEF2	LINC01234	ZHX2	RP11-44N21.1	ABHD16A	CRTC2	NSMAF
NCOA1	LRRC56	MROH6	TRAM2-AS1	C1RL	GLP2R	ADSS2
SLC24A1	KIAA0556	TASP1	DERL3	NAV2	CEP70	TIMP2
NKAPP1	POLN	CEP126	CLCN6	PRIMPOL	ARRDC3	RFC1
FAM103A1	RP11-44N21.1	MACF1	NKX2-1	PTP4A1	SEMA3B	TBC1D23
PFKM	TRAM2-AS1	MROH1	RP11-298I3.4	GGCX	CLP1	CUL3
RP11-333E1.1	DERL3	PTPDC1	MMP25-AS1	FAM13A	ABR	ZZZ3
NIN	ZNF343	RP11-390P2.4	SLC39A13	YARS2	ZNF133	NSUN2
VIPR1	AGBL3	RARRES2	CHRNB1	TDRD9	RHBDD3	AGA
DENND4A	CLCN6	ST3GAL3	PEX10	HEATR6	SDR39U1	BOD1L1
CCDC150	ZNF133	DMTN	NA	HDAC4	TMEM63B	TLL1
MROH1	ADGRL1	SLC2A13	NA	MAN2C1	SSH1	EDC4
NUTM2B-AS1	GLB1L	PAQR6	NA	COL4A5	FANCA	TRIO
TTC23	NKX2-1	TEP1	NA	ZNF420	KCNC4	CLEC16A
CXXC4	SIK3	OFD1	NA	ANKRD29	RAPGEF2	MTREX
IGSF1	SLC39A13	TESK2	NA	BRAF	OXR1	DNAH5
CCDC57	CTD-2366F13.1	LINC01481	NA	PLEKHA6	PHYHD1	ZFYVE16
RP11-588H23.3	PDP2	TRIM68	NA	ETHE1	ULK1	RAI14
RALGPS1	SLC35B3	ADARB1	NA	HBP1	AGER	PHLPP2
MTRF1	PEX10	COL4A4	NA	ORMDL1	INSIG2	SPDL1
KLHL24	TMEM80	CCDC7	NA	ARID1B	VPS8	STAU2
UNKL	NA	PRSS53	NA	GPR107	PLAGL2	LSG1
ARHGAP12	NA	PLK3	NA	GCNT2	TAB1	TNC
FAM120C	NA	VSIG10L	NA	ZNF487	TBC1D25	TDP1
CCDC18	NA	OASL	NA	GAB2	ABCA7	AIFM2
MPV17L	NA	FAM160A1	NA	FANCL	NLRC5	CAPG
KIF27	NA	LRRCC1	NA	ELP6	ZNF573	AP2S1
CLIP4	NA	SLC16A14	NA	TTC12	METTL5	JADE2
RPL18A	NA	RP4-756H11.3	NA	TPCN1	MITD1	PHKA2
LINC01572	NA	SCAPER	NA	TMEM50B	NFKBIZ	YTHDC2
ERI2	NA	AHCTF1	NA	ANKS6	FBXL6	CTPS2
KCNN4	NA	PAPLN	NA	SCGB3A2	PNKP	POLR2B
GINS1	NA	ZNF721	NA	PK4P	BPHL	ARAP2
NRCAM	NA	MIR22HG	NA	DGUOK	CUL7	TPR
SCMH1	NA	IRF7	NA	PEX1	LTBP3	XK
B3GALNT1	NA	DHRS12	NA	HERPUD2	IQGAP3	WWC3
ARHGEF10	NA	LPIN1	NA	RFT1	ZBTB48	RSF1
ZNF250	NA	SEC14L4	NA	BTBD3	PLEKHG4	FAM120A
DEPDC5	NA	ABCA5	NA	C9orf3	HPD	VAMP3
ADCK1	NA	GREB1L	NA	TET2	C6orf163	PER3
D2HGDH	NA	SLC22A23	NA	SCMH1	LRRC23	CLPTM1L
RFX3	NA	TSACC	NA	SLC25A20	RPUSD4	HEXB
SNRPG	NA	TM4SF19	NA	DDX5	IPO13	PTCD2
TMEM161B-AS1	NA	GLI3	NA	ATAD5	CTD-2201E18.3	HERPUD1
RP11-242D8.1	NA	SGK3	NA	GLCE	TONSL	HOMER3
SPATA7	NA	LYST	NA	BPTF	SNHG20	PIK3CB
FAM149A	NA	GPLD1	NA	ZNF397	RP11-21L23.3	CYBA
ST7L	NA	ARSE	NA	TULP4	SLC43A1	PLEKHA5
NCOA7	NA	LTK	NA	PLAG1	LAMB2	SIKE1
SLC38A6	NA	JSRP1	NA	FAM114A1	INPPL1	RRP12
GAA	NA	SLC35F3	NA	LAMA5	THAP3	FNIP2
CREBZF	NA	ABLIM3	NA	AGO4	TUBGCP6	MSMO1
MTR	NA	ZFPM1	NA	ZNF805	RPS6KL1	TTC17
SLC2A11	NA	DEF6	NA	KIAA0586	TM9SF3	ANAPC4
KLHL17	NA	CCDC15	NA	ZNF691	RP11-111M22.3	KCNQ1
LIN37	NA	GSTO2	NA	CRTC3	INTS1	THRAP3
TMEM143	NA	ATP7B	NA	ALDH16A1	MCRIP2	ARID4B
HAGHL	NA	ZNF263	NA	PRKAB2	ZDHHC9	HHAT
NCOA3	NA	L3MBTL1	NA	WISP2	MINK1	KIF1B
PGAP3	NA	VWDE	NA	JAKMIP3	ZFAND2B	TBC1D22A
ZNF510	NA	PRELID2	NA	ZFAND4	ZNF484	SYNE2
ADAMTS3	NA	SOBP	NA	KDM6A	MOSPD3	PLEKHH1
MELTF	NA	TPK1	NA	PPP4R1L	PPIL6	ATP9A
LYSMD4	NA	CCDC159	NA	DMTF1	CUL9	GALC
AKAP9	NA	KIAA0895L	NA	KMT2E	ZNF519	CUL1
PSMA3-AS1	NA	HSD3B7	NA	ADGRG2	ABCB8	FAM114A2
OGG1	NA	CCNJL	NA	TRAIP	RWDD3	CYFIP2
FTX	NA	SLC25A5	NA	FKBP7	NR1H3	GINM1
GREB1L	NA	ANK2	NA	FANCA	LINC02193	EIF2AK2
CFAP44	NA	STOX2	NA	NLK	SLC12A9	KMT2C
KCNH3	NA	PTPN13	NA	ABCD4	HCFC2	PUM2
ALS2CL	NA	RDM1	NA	CNTLN	RP5-1198O20.4	ZFR
PLEKHG2	NA	SLX4IP	NA	SIPA1L3	TBRG4	ZNF280C
ZDHHC20	NA	NDRG2	NA	TMCO3	PDDC1	RC3H2
TTLL11	NA	RASA4	NA	GNPDA2	DGKZ	TRAF3IP2
RAPGEF2	NA	HACE1	NA	PEAK1	CCDC136	PRDM1
LACC1	NA	ANO8	NA	PDE8B	RPARP-AS1	PITHD1
CXorf23	NA	ARAP3	NA	UBR2	PIF1	ATP11B
CTC-499B15.5	NA	ACACB	NA	TMTC2	TRPV1	PPP1R12A
DDX5	NA	EXO5	NA	STX16	NAV2	ATP2B4
SLC1A1	NA	MAP2	NA	PER1	NA	RIOK2
VASH2	NA	ARHGAP12	NA	ERAP2	NA	YIPF1
KIAA0319	NA	STXBP6	NA	RAD51D	NA	NDC1
MEF2B	NA	GPATCH2	NA	PKP4	NA	FLYWCH1
VPS9D1	NA	SLC25A45	NA	DNAAF5	NA	PARP12
GLI1	NA	PROC	NA	SEMA3C	NA	ALDH18A1
KRBOX4	NA	NPL	NA	KLHL24	NA	TARBP1
ZNF519	NA	FAXC	NA	ZNF783	NA	GATB
ARHGEF39	NA	COL4A3	NA	RIC8B	NA	CDK17
ANKRD44	NA	EPG5	NA	ACAD10	NA	SLC2A3
ARSE	NA	TMEM161B-AS1	NA	ANKRD44	NA	YBX3
FOXP2	NA	HSD17B6	NA	NR4A2	NA	WNK1
FAM3C	NA	RP11-476K15.1	NA	GREB1L	NA	CCAR1
GK5	NA	ASH1L	NA	DSN1	NA	OGFR
AKAP11	NA	BEND6	NA	AK9	NA	PTPRU
LAMA3	NA	RP11-37B2.1	NA	ERMP1	NA	QSER1
CYP4F26P	NA	TP53INP2	NA	POLQ	NA	MPC1
NDUFC1	NA	RECK	NA	ZYG11A	NA	NCKAP1
MIR4435-2HG	NA	ZNF687	NA	CCT8	NA	SFSWAP
IQCG	NA	BTBD2	NA	CLHC1	NA	MON2
ADAMTS6	NA	TUBG2	NA	ZNF37BP	NA	GPBP1
ZBTB14	NA	HCN3	NA	AKAP7	NA	ELMO2
TRIM66	NA	PLEKHA7	NA	MTMR3	NA	APPBP2
MAMDC4	NA	LSM12	NA	SEPT6	NA	U2AF2
ZFYVE28	NA	GPR156	NA	ZP3	NA	EPN1
ZNF589	NA	ERVK13-1	NA	COL15A1	NA	AHRR
AMOTL1	NA	WDR27	NA	KIF14	NA	MTMR1
CTD-2369P2.10	NA	UTRN	NA	TNS1	NA	HAGH
ASB16-AS1	NA	RP11-242D8.1	NA	BAG4	NA	LIMCH1
KDM8	NA	TRNT1	NA	ZNF786	NA	HIPK2
PRDM2	NA	UBE2Q2	NA	ACSS2	NA	TNPO3
SLC35F3	NA	KRIT1	NA	CASD1	NA	RFXANK
ZFPM1	NA	UNKL	NA	CCDC150	NA	TMEM161A
TMEM116	NA	ETNPPL	NA	GALNT18	NA	SLC12A2
PLD1	NA	RABGAP1L	NA	IQSEC1	NA	DDX20
RP11-432J22.2	NA	ZNF3	NA	FAM222A	NA	SBNO2
ATP7A	NA	RP11-488L18.8	NA	MPDZ	NA	PMS1
KIAA1109	NA	CERS4	NA	GEMIN7	NA	ANKS1A
TNK2	NA	TSPAN15	NA	NAXD	NA	AP3D1
TXNRD3	NA	VASH2	NA	RECQL5	NA	ZNF76
ARHGAP22	NA	RGS12	NA	NUDT7	NA	BLTP3A
DPYD	NA	C6orf203	NA	TMEM161B	NA	GNAI3
DERL3	NA	PANX2	NA	EXOC2	NA	IPO5
MAST3	NA	TMEM116	NA	TSTD3	NA	OAT
DGKA	NA	PCNX2	NA	KIAA2026	NA	WDR3
