FEATURE	TAF2_INTRON_UP_N_DATAPOINTS	TAF2_INTRON_UP_N_NA	TAF2_INTRON_UP_MEAN	TAF2_INTRON_UP_MEDIAN	TAF2_INTRON_DOWN_N_DATAPOINTS	TAF2_INTRON_DOWN_N_NA	TAF2_INTRON_DOWN_MEAN	TAF2_INTRON_DOWN_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_TAF2_INTRON_DOWN	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_TAF2_INTRON_DOWN	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CS	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS	QUAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS
SF1_HIGHESTSCORE_3SS	111	0	-6.73334729408904	-6.81202433353393	97	0	-6.57328457310615	-6.67083721134111	49	0	-7.07335866698153	-7.15474060538111	949	0	-6.83587634464305	-6.87339794826995	966	0	-6.19463969613405	-6.268715314834	0.427628680878133	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.135237541380348	TAF2_INTRON_UP = CR	0.455587587348548	TAF2_INTRON_UP = AS_NC	3.53797535814483e-06	*** : TAF2_INTRON_UP < CS	0.031643531496037	*   : TAF2_INTRON_DOWN > CR	0.0599057334304962	TAF2_INTRON_DOWN = AS_NC	0.00100781730108081	**  : TAF2_INTRON_DOWN < CS	0.193029911964991	CR = AS_NC	1.95145353895792e-06	*** : CR < CS	6.28079021147218e-34	*** : AS_NC < CS
INTRON_5SS_20INT10EX_GCC	111	0	0.576576576576577	0.6	97	0	0.561512027491409	0.566666666666667	49	0	0.575510204081633	0.6	949	0	0.594766420793818	0.6	966	0	0.461939268461008	0.433333333333333	0.200379549060079	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.727927254466641	TAF2_INTRON_UP = CR	0.609344147393938	TAF2_INTRON_UP = AS_NC	2.51212191251153e-14	*** : TAF2_INTRON_UP > CS	0.413843866403006	TAF2_INTRON_DOWN = CR	0.0163667424661409	*   : TAF2_INTRON_DOWN < AS_NC	6.67443175193234e-10	*** : TAF2_INTRON_DOWN > CS	0.443176674282963	CR = AS_NC	2.47000167074614e-07	*** : CR > CS	6.04820755533588e-82	*** : AS_NC > CS
INTRON_3SS_20INT10EX_GCC	111	0	0.567267267267267	0.6	97	0	0.500343642611684	0.533333333333333	49	0	0.56530612244898	0.6	949	0	0.568598524762908	0.6	966	0	0.418288474810214	0.4	0.00117602502150543	**  : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.689782529722012	TAF2_INTRON_UP = CR	0.631210141692213	TAF2_INTRON_UP = AS_NC	2.13778808930303e-20	*** : TAF2_INTRON_UP > CS	0.0194048294711644	*   : TAF2_INTRON_DOWN < CR	1.56958955440681e-05	*** : TAF2_INTRON_DOWN < AS_NC	3.45365134922089e-08	*** : TAF2_INTRON_DOWN > CS	0.932471049235586	CR = AS_NC	1.72611033168075e-10	*** : CR > CS	2.19029289656072e-111	*** : AS_NC > CS
MAXENTSCR_HSAMODEL_5SS	111	0	7.25657657657658	7.96	97	0	7.2360824742268	7.93	49	0	2.47673469387755	4.05	949	0	7.21516332982086	8.07	966	0	8.46791925465839	8.88	0.952121795787831	TAF2_INTRON_UP = TAF2_INTRON_DOWN	1.42262207224483e-07	*** : TAF2_INTRON_UP > CR	0.467046853504293	TAF2_INTRON_UP = AS_NC	2.94441457842564e-06	*** : TAF2_INTRON_UP < CS	1.67402468975172e-07	*** : TAF2_INTRON_DOWN > CR	0.368029926368052	TAF2_INTRON_DOWN = AS_NC	1.22018976937265e-06	*** : TAF2_INTRON_DOWN < CS	1.19476096637154e-10	*** : CR < AS_NC	2.20109419529452e-17	*** : CR < CS	3.2657353631044e-18	*** : AS_NC < CS
MAXENTSCR_HSAMODEL_3SS	111	0	7.86558558558559	8.16	97	0	7.73030927835052	7.96	49	0	1.20612244897959	4.24	949	0	7.64245521601686	8.28	966	0	8.66806418219462	8.775	0.799481104429059	TAF2_INTRON_UP = TAF2_INTRON_DOWN	8.66463339072505e-07	*** : TAF2_INTRON_UP > CR	0.754460888421272	TAF2_INTRON_UP = AS_NC	0.0113711569366914	*   : TAF2_INTRON_UP < CS	3.89808480769499e-06	*** : TAF2_INTRON_DOWN > CR	0.996340000941214	TAF2_INTRON_DOWN = AS_NC	0.0103728413660872	*   : TAF2_INTRON_DOWN < CS	3.03037027843508e-08	*** : CR < AS_NC	7.80898522397222e-12	*** : CR < CS	1.42037789715839e-09	*** : AS_NC < CS
DIST_FROM_MAXBP_TO_3SS	108	3	50.7685185185185	29.5	95	2	52.0842105263158	37	45	4	60.6888888888889	44	919	30	50.5473340587595	32	962	4	54.1943866943867	36	0.577606700665305	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.0240054636811681	*   : TAF2_INTRON_UP < CR	0.465795045745416	TAF2_INTRON_UP = AS_NC	0.0300901930871888	*   : TAF2_INTRON_UP < CS	0.09161264195223	TAF2_INTRON_DOWN = CR	0.83639403975473	TAF2_INTRON_DOWN = AS_NC	0.290385625804212	TAF2_INTRON_DOWN = CS	0.0172337911385637	*   : CR > AS_NC	0.13068492527843	CR = CS	0.000701499093594871	*** : AS_NC < CS
SCORE_FOR_MAXBP_SEQ	108	3	1.5003407626544	1.417246687345	95	2	1.02881718908465	1.26975549555	45	4	0.727067214266773	0.834816514245	919	30	1.34926199924079	1.37277982896	962	4	1.11396935996517	1.108843772305	0.14743898601475	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.00788924575650213	**  : TAF2_INTRON_UP > CR	0.490945096442304	TAF2_INTRON_UP = AS_NC	0.0156212978502122	*   : TAF2_INTRON_UP > CS	0.0983077884277645	TAF2_INTRON_DOWN = CR	0.206937895620099	TAF2_INTRON_DOWN = AS_NC	0.71763276396383	TAF2_INTRON_DOWN = CS	0.00895555520736082	**  : CR < AS_NC	0.0724806589201539	CR = CS	0.000284642715928955	*** : AS_NC > CS
PYRIMIDINECONT_MAXBP	108	3	0.710472309945296	0.713075060533	95	2	0.704808524387379	0.714285714286	45	4	0.640034428959689	0.626506024096	919	30	0.70214078449384	0.705882352941	962	4	0.706293626690752	0.711111111111	0.699814711262221	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.002666554330514	**  : TAF2_INTRON_UP > CR	0.528665496817999	TAF2_INTRON_UP = AS_NC	0.67721747059699	TAF2_INTRON_UP = CS	0.0142049556246907	*   : TAF2_INTRON_DOWN > CR	0.966095168741015	TAF2_INTRON_DOWN = AS_NC	0.860728040814469	TAF2_INTRON_DOWN = CS	0.00255972984530123	**  : CR < AS_NC	0.00178398210247633	**  : CR < CS	0.636959337965523	AS_NC = CS
POLYPYRITRAC_OFFSET_MAXBP	108	3	6.87037037037037	3	95	2	6.06315789473684	1	45	4	8.06666666666667	4	919	30	6.44504896626768	3	962	4	4.05405405405405	2	0.0368784074047262	*   : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.154458771061014	TAF2_INTRON_UP = CR	0.671129289641745	TAF2_INTRON_UP = AS_NC	0.0327155089910538	*   : TAF2_INTRON_UP > CS	0.00299531351265522	**  : TAF2_INTRON_DOWN < CR	0.0021963660470228	**  : TAF2_INTRON_DOWN < AS_NC	0.378391834794743	TAF2_INTRON_DOWN = CS	0.161537159183752	CR = AS_NC	0.0013560964608456	**  : CR > CS	7.96057286471785e-09	*** : AS_NC > CS
POLYPYRITRAC_LEN_MAXBP	108	3	15.3611111111111	14	95	2	16.3473684210526	13	45	4	15.9111111111111	13	919	30	15.8389553862894	14	962	4	16.2536382536383	15	0.606058858655181	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.436453833411143	TAF2_INTRON_UP = CR	0.863359417723026	TAF2_INTRON_UP = AS_NC	0.647259672630435	TAF2_INTRON_UP = CS	0.588349112470277	TAF2_INTRON_DOWN = CR	0.618366669751108	TAF2_INTRON_DOWN = AS_NC	0.280125903643407	TAF2_INTRON_DOWN = CS	0.396992320117707	CR = AS_NC	0.21194076653564	CR = CS	0.172321530511786	AS_NC = CS
