EXPERIMENT	TYPE	EVENT	DIRECTION
HeLa-SRRM2-KD	Exon	HsaEX0005590	UP
HeLa-SRRM2-KD	Exon	HsaEX1035387	UP
HeLa-SRRM2-KD	Exon	HsaEX0019231	UP
HeLa-SRRM2-KD	Exon	HsaEX6096249	UP
HeLa-SRRM2-KD	Exon	HsaEX0051223	UP
HeLa-SRRM2-KD	Exon	HsaEX0023973	UP
HeLa-SRRM2-KD	Exon	HsaEX6048188	UP
HeLa-SRRM2-KD	Exon	HsaEX0006056	UP
HeLa-SRRM2-KD	Exon	HsaEX0064293	UP
HeLa-SRRM2-KD	Exon	HsaEX0023045	UP
HeLa-SRRM2-KD	Exon	HsaEX6030327	UP
HeLa-SRRM2-KD	Exon	HsaEX1019843	UP
HeLa-SRRM2-KD	Exon	HsaEX1039241	UP
HeLa-SRRM2-KD	Exon	HsaEX0069157	UP
HeLa-SRRM2-KD	Exon	HsaEX0025711	UP
HeLa-SRRM2-KD	Exon	HsaEX0049039	UP
HeLa-SRRM2-KD	Exon	HsaEX0042377	UP
HeLa-SRRM2-KD	Exon	HsaEX0062665	UP
HeLa-SRRM2-KD	Exon	HsaEX0011403	UP
HeLa-SRRM2-KD	Exon	HsaEX0037895	UP
HeLa-SRRM2-KD	Exon	HsaEX0015243	UP
HeLa-SRRM2-KD	Exon	HsaEX0029088	UP
HeLa-SRRM2-KD	Exon	HsaEX6054330	UP
HeLa-SRRM2-KD	Exon	HsaEX0033955	UP
HeLa-SRRM2-KD	Exon	HsaEX7010792	UP
HeLa-SRRM2-KD	Exon	HsaEX0073411	UP
HeLa-SRRM2-KD	Exon	HsaEX0041759	UP
HeLa-SRRM2-KD	Exon	HsaEX0007689	UP
HeLa-SRRM2-KD	Exon	HsaEX0010065	UP
HeLa-SRRM2-KD	Exon	HsaEX0012910	UP
HeLa-SRRM2-KD	Exon	HsaEX0050901	UP
HeLa-SRRM2-KD	Exon	HsaEX0027392	UP
HeLa-SRRM2-KD	Exon	HsaEX0024006	UP
HeLa-SRRM2-KD	Exon	HsaEX1044267	UP
HeLa-SRRM2-KD	Exon	HsaEX0064351	UP
HeLa-SRRM2-KD	Exon	HsaEX0029568	UP
HeLa-SRRM2-KD	Exon	HsaEX0029402	UP
HeLa-SRRM2-KD	Exon	HsaEX0050276	UP
HeLa-SRRM2-KD	Exon	HsaEX1046611	UP
HeLa-SRRM2-KD	Exon	HsaEX0016561	UP
HeLa-SRRM2-KD	Exon	HsaEX0073625	UP
HeLa-SRRM2-KD	Exon	HsaEX0004452	UP
HeLa-SRRM2-KD	Exon	HsaEX0008354	UP
HeLa-SRRM2-KD	Exon	HsaEX0048274	UP
HeLa-SRRM2-KD	Exon	HsaEX1013509	UP
HeLa-SRRM2-KD	Exon	HsaEX0044848	UP
HeLa-SRRM2-KD	Exon	HsaEX0029312	UP
HeLa-SRRM2-KD	Exon	HsaEX0005757	UP
HeLa-SRRM2-KD	Exon	HsaEX0028227	UP
HeLa-SRRM2-KD	Exon	HsaEX0027249	UP
HeLa-SRRM2-KD	Exon	HsaEX0004453	UP
HeLa-SRRM2-KD	Exon	HsaEX0073781	UP
HeLa-SRRM2-KD	Exon	HsaEX0026739	UP
HeLa-SRRM2-KD	Exon	HsaEX0024836	UP
HeLa-SRRM2-KD	Exon	HsaEX0067746	UP
HeLa-SRRM2-KD	Exon	HsaEX0010963	UP
HeLa-SRRM2-KD	Exon	HsaEX0066630	UP
HeLa-SRRM2-KD	Exon	HsaEX0065864	UP
HeLa-SRRM2-KD	Exon	HsaEX0004600	UP
HeLa-SRRM2-KD	Exon	HsaEX6100446	UP
HeLa-SRRM2-KD	Exon	HsaEX0047798	UP
HeLa-SRRM2-KD	Exon	HsaEX0030435	UP
HeLa-SRRM2-KD	Exon	HsaEX0019479	UP
HeLa-SRRM2-KD	Exon	HsaEX0046621	UP
HeLa-SRRM2-KD	Exon	HsaEX1004490	UP
HeLa-SRRM2-KD	Exon	HsaEX0029821	UP
HeLa-SRRM2-KD	Exon	HsaEX0053206	UP
HeLa-SRRM2-KD	Exon	HsaEX0008640	UP
HeLa-SRRM2-KD	Exon	HsaEX0011648	UP
HeLa-SRRM2-KD	Exon	HsaEX0064529	UP
HeLa-SRRM2-KD	Exon	HsaEX0056512	UP
HeLa-SRRM2-KD	Exon	HsaEX0004451	UP
HeLa-SRRM2-KD	Exon	HsaEX0059027	UP
HeLa-SRRM2-KD	Exon	HsaEX0018967	UP
HeLa-SRRM2-KD	Exon	HsaEX0020054	UP
HeLa-SRRM2-KD	Exon	HsaEX0071618	UP
HeLa-SRRM2-KD	Exon	HsaEX1004945	UP
HeLa-SRRM2-KD	Exon	HsaEX0027585	UP
HeLa-SRRM2-KD	Exon	HsaEX1005817	UP
HeLa-SRRM2-KD	Exon	HsaEX0067302	UP
HeLa-SRRM2-KD	Exon	HsaEX0073588	UP
HeLa-SRRM2-KD	Exon	HsaEX0022174	UP
HeLa-SRRM2-KD	Exon	HsaEX1042577	UP
HeLa-SRRM2-KD	Exon	HsaEX0048006	UP
HeLa-SRRM2-KD	Exon	HsaEX0022478	UP
HeLa-SRRM2-KD	Exon	HsaEX0023786	UP
HeLa-SRRM2-KD	Exon	HsaEX0035271	UP
HeLa-SRRM2-KD	Exon	HsaEX0021987	UP
HeLa-SRRM2-KD	Exon	HsaEX0073026	UP
HeLa-SRRM2-KD	Exon	HsaEX0074387	UP
HeLa-SRRM2-KD	Exon	HsaEX6071518	UP
